epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate
1,16.256800158893892,0.0,0.0,0.0,0.0,3.3400000000000005e-05
2,12.486730204939278,0.0,0.0,0.0,0.0,6.670000000000001e-05
3,10.815187960439383,0.0,0.0,0.0,0.0,0.0001
4,9.39340522729955,0.0,0.0,0.0,0.0,9.99938933078422e-05
5,8.444057573074414,0.0,0.0,0.0,0.0,9.997557473810371e-05
6,8.02603303990658,0.0,0.0,0.0,0.0,9.994504881061753e-05
7,7.633677206898188,0.0,0.0,0.0,0.0,9.990232305719945e-05
8,7.36226596651484,0.0,0.0,0.0,0.0,9.984740801978984e-05
9,7.160112543693651,0.0,0.0,0.0,0.0,9.978031724785246e-05
10,6.987262373286966,1.0205147635369074,0.6694200705402945,0.5455889717939055,0.47031261480143294,9.97010672950314e-05
11,6.8760680383980555,0.0,0.0,0.0,0.0,9.960967771506666e-05
12,6.785327204030837,0.0,0.0,0.0,0.0,9.950617105696959e-05
13,6.710081966002406,0.0,0.0,0.0,0.0,9.939057285945931e-05
14,6.662094016775701,0.0,0.0,0.0,0.0,9.92629116446613e-05
15,6.5628471849088985,0.0,0.0,0.0,0.0,9.912321891107009e-05
16,6.51415677545195,0.0,0.0,0.0,0.0,9.89715291257774e-05
17,6.449812843901286,0.0,0.0,0.0,0.0,9.880787971596799e-05
18,6.40603881763621,0.0,0.0,0.0,0.0,9.863231105968498e-05
19,6.349394045734858,0.0,0.0,0.0,0.0,9.844486647586723e-05
20,6.309897483807604,0.9130419457242602,0.8027857431765794,0.675479174103881,0.5826699041123388,9.824559221366101e-05
21,6.259560015529253,0.0,0.0,0.0,0.0,9.803453744100869e-05
22,6.244384948676231,0.0,0.0,0.0,0.0,9.781175423251735e-05
23,6.2022146568479135,0.0,0.0,0.0,0.0,9.757729755661011e-05
24,6.212544902241061,0.0,0.0,0.0,0.0,9.73312252619635e-05
25,6.2193374023618295,0.0,0.0,0.0,0.0,9.707359806323416e-05
26,6.0959715549414755,0.0,0.0,0.0,0.0,9.680447952607844e-05
