epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate
1,18.898048047777973,0.0,0.0,0.0,0.0,3.3400000000000005e-05
2,14.622089561027817,0.0,0.0,0.0,0.0,6.670000000000001e-05
3,12.666994432859783,0.0,0.0,0.0,0.0,0.0001
4,11.265608938434456,0.0,0.0,0.0,0.0,9.99938933078422e-05
5,10.459774343273308,0.0,0.0,0.0,0.0,9.997557473810371e-05
6,9.885738327533383,0.0,0.0,0.0,0.0,9.994504881061753e-05
7,9.52271581601493,0.0,0.0,0.0,0.0,9.990232305719945e-05
8,9.269760807858237,0.0,0.0,0.0,0.0,9.984740801978984e-05
9,9.016755550722532,0.0,0.0,0.0,0.0,9.978031724785246e-05
10,8.781497104258477,1.0500305143613664,0.7502829876480871,0.6429600926148016,0.5606009607355387,9.97010672950314e-05
11,8.614318892925601,0.0,0.0,0.0,0.0,9.960967771506666e-05
12,8.429113419750069,0.0,0.0,0.0,0.0,9.950617105696959e-05
13,8.304813451404813,0.0,0.0,0.0,0.0,9.939057285945931e-05
14,8.186018445823766,0.0,0.0,0.0,0.0,9.92629116446613e-05
15,8.140422599225104,0.0,0.0,0.0,0.0,9.912321891107009e-05
16,8.109734443169605,0.0,0.0,0.0,0.0,9.89715291257774e-05
17,8.031115966507151,0.0,0.0,0.0,0.0,9.880787971596799e-05
18,7.9756065788148325,0.0,0.0,0.0,0.0,9.863231105968498e-05
19,7.903111337106439,0.0,0.0,0.0,0.0,9.844486647586723e-05
20,7.894624474682385,0.9374626870193179,0.8236111783780832,0.7207395895967348,0.6277085517727984,9.824559221366101e-05
21,7.841733918914312,0.0,0.0,0.0,0.0,9.803453744100869e-05
22,7.833704046056241,0.0,0.0,0.0,0.0,9.781175423251735e-05
23,7.7593591107597835,0.0,0.0,0.0,0.0,9.757729755661011e-05
24,7.766126400307764,0.0,0.0,0.0,0.0,9.73312252619635e-05
25,7.736242567436604,0.0,0.0,0.0,0.0,9.707359806323416e-05
26,7.69684029832671,0.0,0.0,0.0,0.0,9.680447952607844e-05
27,7.7142156000378765,0.0,0.0,0.0,0.0,9.652393605146843e-05
28,7.649828495858591,0.0,0.0,0.0,0.0,9.623203685930868e-05
29,7.681814404982555,0.0,0.0,0.0,0.0,9.592885397135704e-05
30,7.589955326877063,0.8436028479583679,0.8514867393874835,0.754344042888107,0.6585728552713528,9.561446219345451e-05
31,7.551385251781609,0.0,0.0,0.0,0.0,9.528893909706794e-05
32,7.519491862647141,0.0,0.0,0.0,0.0,9.495236500015045e-05
33,7.516250560555277,0.0,0.0,0.0,0.0,9.460482294732418e-05
34,7.495040621938585,0.0,0.0,0.0,0.0,9.424639868939032e-05
35,7.4916686845731135,0.0,0.0,0.0,0.0,9.387718066217123e-05
36,7.46555560148215,0.0,0.0,0.0,0.0,9.349725996469046e-05
37,7.451259222211717,0.0,0.0,0.0,0.0,9.31067303366952e-05
38,7.4675946326195435,0.0,0.0,0.0,0.0,9.270568813552755e-05
39,7.439315445815461,0.0,0.0,0.0,0.0,9.229423231234973e-05
40,7.42514362063589,0.8138516242541964,0.8662080729424485,0.7690065085745129,0.6727990489238163,9.187246438772937e-05
41,7.40394733223734,0.0,0.0,0.0,0.0,9.144048842659079e-05
42,7.386496405058269,0.0,0.0,0.0,0.0,9.099841101253865e-05
43,7.375091955631594,0.0,0.0,0.0,0.0,9.054634122155989e-05
44,7.405241050297701,0.0,0.0,0.0,0.0,9.008439059511098e-05
45,7.341951104659069,0.0,0.0,0.0,0.0,8.961267311259666e-05
46,7.330052164536488,0.0,0.0,0.0,0.0,8.913130516324732e-05
47,7.297428692443462,0.0,0.0,0.0,0.0,8.864040551740156e-05
48,7.315905070003075,0.0,0.0,0.0,0.0,8.814009529720153e-05
49,7.349388615994513,0.0,0.0,0.0,0.0,8.763049794670775e-05
50,7.308352942708172,0.8040365818000975,0.8706577513776519,0.7737917026511555,0.678270022972379,8.711173920144117e-05
51,7.305501077748552,0.0,0.0,0.0,0.0,8.658394705735987e-05
52,7.246239319632325,0.0,0.0,0.0,0.0,8.604725173927785e-05
53,7.256632982930051,0.0,0.0,0.0,0.0,8.55017856687341e-05
54,7.262962961498695,0.0,0.0,0.0,0.0,8.494768343131955e-05
55,7.264968467664115,0.0,0.0,0.0,0.0,8.438508174347009e-05
56,7.22374852246876,0.0,0.0,0.0,0.0,8.381411941873378e-05
57,7.200444988057583,0.0,0.0,0.0,0.0,8.323493733352076e-05
58,7.19518294515489,0.0,0.0,0.0,0.0,8.264767839234409e-05
59,7.197963642168649,0.0,0.0,0.0,0.0,8.205248749256013e-05
60,7.173705540125883,0.7988519271214803,0.8706606847437635,0.7743644919102234,0.6779329871470975,8.144951148861741e-05
61,7.166501161418384,0.0,0.0,0.0,0.0,8.083889915582234e-05
62,7.16437497772748,0.0,0.0,0.0,0.0,8.022080115363126e-05
63,7.1375805531875995,0.0,0.0,0.0,0.0,7.959536998847742e-05
64,7.101438842242277,0.0,0.0,0.0,0.0,7.896275997614229e-05
65,7.127578715734844,0.0,0.0,0.0,0.0,7.832312720368047e-05
66,7.108869573738001,0.0,0.0,0.0,0.0,7.767662949090751e-05
67,7.105251190028613,0.0,0.0,0.0,0.0,7.702342635146032e-05
68,7.119572375394121,0.0,0.0,0.0,0.0,7.636367895343945e-05
69,7.099689058110684,0.0,0.0,0.0,0.0,7.569755007964337e-05
70,7.082925505275968,0.7949998757195851,0.8772580777256894,0.7804136496121492,0.6838693412516782,7.502520408740417e-05
71,7.078915033159377,0.0,0.0,0.0,0.0,7.434680686803489e-05
72,7.0700426976892015,0.0,0.0,0.0,0.0,7.366252580589837e-05
73,7.029805993732018,0.0,0.0,0.0,0.0,7.297252973710755e-05
74,7.021362070795856,0.0,0.0,0.0,0.0,7.227698890786778e-05
75,7.0017637029478825,0.0,0.0,0.0,0.0,7.157607493247108e-05
76,7.049783748916433,0.0,0.0,0.0,0.0,7.086996075095288e-05
77,7.0205642120747624,0.0,0.0,0.0,0.0,7.015882058642162e-05
78,7.0236843447142006,0.0,0.0,0.0,0.0,6.944282990207194e-05
79,7.015977376623999,0.0,0.0,0.0,0.0,6.872216535789156e-05
80,7.03602100474925,0.7912281027862004,0.8796437242259584,0.7834183320804702,0.6866625484262537,6.799700476707322e-05
81,7.038825901248787,0.0,0.0,0.0,0.0,6.726752705214193e-05
82,7.0323305763775785,0.0,0.0,0.0,0.0,6.653391220080839e-05
83,7.029510428633871,0.0,0.0,0.0,0.0,6.579634122155988e-05
84,7.014296439629566,0.0,0.0,0.0,0.0,6.505499609899904e-05
85,6.99028701269174,0.0,0.0,0.0,0.0,6.431005974894185e-05
86,6.989641796184491,0.0,0.0,0.0,0.0,6.356171597328594e-05
87,7.009598110295549,0.0,0.0,0.0,0.0,6.28101494146603e-05
88,6.973931836176522,0.0,0.0,0.0,0.0,6.205554551086731e-05
89,6.970081742805771,0.0,0.0,0.0,0.0,6.129809044912885e-05
90,6.925106940390188,0.7883609661034175,0.8825740855750925,0.7874589574077704,0.6901519142918877,6.0537971120147364e-05
91,6.933414534677433,0.0,0.0,0.0,0.0,5.977537507199337e-05
92,6.906912516944016,0.0,0.0,0.0,0.0,5.9010490463830756e-05
93,6.902375820316846,0.0,0.0,0.0,0.0,5.8243506019491416e-05
94,6.896229294281971,0.0,0.0,0.0,0.0,5.7474610980910334e-05
95,6.907405850253528,0.0,0.0,0.0,0.0,5.6703995061433054e-05
96,6.914171657984769,0.0,0.0,0.0,0.0,5.593184839900673e-05
97,6.890444081040878,0.0,0.0,0.0,0.0,5.515836150926645e-05
98,6.906493881080724,0.0,0.0,0.0,0.0,5.4383725238528314e-05
99,6.89072575901128,0.0,0.0,0.0,0.0,5.3608130716701005e-05
100,6.883101974861531,0.7850722604327731,0.8839972911718403,0.7886335950353005,0.6913307986612102,5.28317693101273e-05
101,6.830205039132999,0.0,0.0,0.0,0.0,5.205483257436734e-05
102,6.860570916646643,0.0,0.0,0.0,0.0,5.1277512206935114e-05
103,6.8466997538940815,0.0,0.0,0.0,0.0,5.049999999999999e-05
104,6.8514622540413574,0.0,0.0,0.0,0.0,4.9722487793064875e-05
105,6.865635408630854,0.785097220587352,0.8858857421037605,0.7898984345429283,0.6924025379831031,4.8945167425632636e-05
106,6.837380771395527,0.0,0.0,0.0,0.0,4.816823068987268e-05
107,6.821798247627065,0.0,0.0,0.0,0.0,4.7391869283298976e-05
108,6.835851865478709,0.0,0.0,0.0,0.0,4.6616274761471674e-05
109,6.838867929917347,0.0,0.0,0.0,0.0,4.5841638490733534e-05
110,6.817671771290936,0.7905976365482996,0.8845081700698741,0.7889007765672101,0.6917839152652315,4.506815160099326e-05
111,6.7945839815501925,0.0,0.0,0.0,0.0,4.429600493856694e-05
112,6.808847362482095,0.0,0.0,0.0,0.0,4.352538901908967e-05
113,6.809117027475864,0.0,0.0,0.0,0.0,4.275649398050857e-05
114,6.811663787576217,0.0,0.0,0.0,0.0,4.198950953616922e-05
115,6.785807119140142,0.7980150689208318,0.8843328290792555,0.7890988762592427,0.69167272124489,4.122462492800663e-05
116,6.755845623680308,0.0,0.0,0.0,0.0,4.046202887985264e-05
117,6.791414950467363,0.0,0.0,0.0,0.0,3.970190955087116e-05
118,6.80424051496047,0.0,0.0,0.0,0.0,3.894445448913268e-05
119,6.750418192223657,0.0,0.0,0.0,0.0,3.818985058533969e-05
120,6.769060910502566,0.7949282318826706,0.8854148887189907,0.7893356931076031,0.692114859768292,3.7438284026714043e-05
121,6.764261541487295,0.0,0.0,0.0,0.0,3.668994025105816e-05
122,6.731948995892005,0.0,0.0,0.0,0.0,3.5945003901000964e-05
123,6.73005052306984,0.0,0.0,0.0,0.0,3.5203658778440126e-05
124,6.737263036679618,0.0,0.0,0.0,0.0,3.446608779919161e-05
125,6.712480508828465,0.7887447102675362,0.8877636324204594,0.7922690328507046,0.6940789447942672,3.3732472947858084e-05
126,6.725306701056565,0.0,0.0,0.0,0.0,3.3002995232926785e-05
127,6.723299797577194,0.0,0.0,0.0,0.0,3.2277834642108455e-05
128,6.709374577184267,0.0,0.0,0.0,0.0,3.155717009792807e-05
129,6.716757955430429,0.0,0.0,0.0,0.0,3.084117941357835e-05
130,6.7019290546827675,0.7855674700131492,0.8881051629484342,0.7929029308048624,0.6948226094182921,3.0130039249047115e-05
131,6.708454678330241,0.0,0.0,0.0,0.0,2.9423925067528905e-05
132,6.703873528709894,0.0,0.0,0.0,0.0,2.87230110921322e-05
133,6.683043582529962,0.0,0.0,0.0,0.0,2.8027470262892437e-05
134,6.699632118019877,0.0,0.0,0.0,0.0,2.7337474194101628e-05
135,6.678433659710461,0.7832568576411595,0.8891211660407426,0.7926758145626669,0.6949328382981524,2.6653193131965085e-05
136,6.682133409041393,0.0,0.0,0.0,0.0,2.5974795912595822e-05
137,6.686107822611362,0.0,0.0,0.0,0.0,2.530244992035662e-05
138,6.6591689405562,0.0,0.0,0.0,0.0,2.4636321046560534e-05
139,6.676785616935054,0.0,0.0,0.0,0.0,2.3976573648539653e-05
140,6.689229260517072,0.781209502428297,0.8889194460069165,0.7932034651086542,0.6952948724142013,2.332337050909247e-05
141,6.6441009572789635,0.7814783614779276,0.8869651820285728,0.7927807459966939,0.6942738375855195,2.267687279631953e-05
142,6.668242113499701,0.7815162373913659,0.8870918882828096,0.7921367272849068,0.6943492150673617,2.203724002385771e-05
143,6.676433718657192,0.7810815435553354,0.8882772830794416,0.7925809094665226,0.6948197662902185,2.1404630011522583e-05
144,6.654610570473007,0.7809656125212473,0.8882149186335154,0.7927016176310595,0.6948350750840173,2.077919884636874e-05
145,6.622786616977257,0.780939643345182,0.8884318066350317,0.7930094701084015,0.6950299137216905,2.0161100844177653e-05
146,6.63906980466239,0.7805401290219928,0.8877330904747363,0.792583999808575,0.6949491071829557,1.9550488511382585e-05
147,6.633956442905378,0.7808746241387867,0.888287651298409,0.7928314230966523,0.6950779706560345,1.8947512507439848e-05
148,6.625838994979858,0.7802126294090634,0.8889811046894063,0.7934563664237003,0.6958071666808194,1.8352321607655905e-05
149,6.622305459614042,0.77977911583961,0.8891819368317202,0.793684789789248,0.6959341489693719,1.776506266647923e-05
150,6.6373902755447585,0.7799169880057139,0.8892118875263363,0.7936193987177164,0.695992000825703,1.7185880581266205e-05
151,6.62037447887131,0.7801344933963957,0.8892366169540036,0.7936320931948088,0.6957480206462728,1.66149182565299e-05
152,6.596700965603696,0.7795325271666996,0.8895162777511546,0.7942772628440196,0.6959986024385149,1.6052316568680434e-05
153,6.62401396111597,0.7795617277660067,0.8887396386095372,0.7942884390971292,0.6960952870229781,1.5498214331265893e-05
154,6.609491339212732,0.7795350641485245,0.8883346802385599,0.793383736786998,0.6955884977607986,1.4952748260722152e-05
155,6.612461829487281,0.7794996452709985,0.8890488622022491,0.7939972588520763,0.6959678387160844,1.4416052942640132e-05
156,6.590721936165532,0.7791815111561428,0.8897756280307099,0.7940873107962443,0.6961032437743218,1.388826079855881e-05
157,6.604379970816117,0.778839005364312,0.8892598585600762,0.7937836551060791,0.6958660260938241,1.3369502053292245e-05
158,6.587833849689629,0.7785301482866681,0.8894246705804751,0.7938787282491332,0.6961422324925481,1.2859904702798464e-05
159,6.610319923750962,0.778538583763062,0.8895511012201375,0.793854930729986,0.6961234697899551,1.2359594482598432e-05
