epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate
1,20.87463163764556,0.0,0.0,0.0,0.0,3.3400000000000005e-05
2,15.464114654685648,0.0,0.0,0.0,0.0,6.670000000000001e-05
3,11.710180748130472,0.0,0.0,0.0,0.0,0.0001
4,10.149046400711999,0.0,0.0,0.0,0.0,9.99938933078422e-05
5,9.239708462032661,0.0,0.0,0.0,0.0,9.997557473810371e-05
6,8.768703777078203,0.0,0.0,0.0,0.0,9.994504881061753e-05
7,8.265242359649514,0.0,0.0,0.0,0.0,9.990232305719945e-05
8,7.769159181423097,0.0,0.0,0.0,0.0,9.984740801978984e-05
9,7.604569240768939,0.0,0.0,0.0,0.0,9.978031724785246e-05
10,7.466003121922931,1.1983981047357832,0.6564021315495492,0.5155336684138623,0.44895181727039857,9.97010672950314e-05
11,7.322140345641222,0.0,0.0,0.0,0.0,9.960967771506666e-05
12,7.2201563554917465,0.0,0.0,0.0,0.0,9.950617105696959e-05
13,7.127840324600726,0.0,0.0,0.0,0.0,9.939057285945931e-05
14,7.052267976281767,0.0,0.0,0.0,0.0,9.92629116446613e-05
15,6.957979439559141,0.0,0.0,0.0,0.0,9.912321891107009e-05
16,6.879358734564758,0.0,0.0,0.0,0.0,9.89715291257774e-05
17,6.7657862997733025,0.0,0.0,0.0,0.0,9.880787971596799e-05
18,6.707604702050087,0.0,0.0,0.0,0.0,9.863231105968498e-05
19,6.653087588848096,0.0,0.0,0.0,0.0,9.844486647586723e-05
20,6.655378002691043,1.0526219464483715,0.7271683874584921,0.6105349024920216,0.5305954706878682,9.824559221366101e-05
21,6.581784989596543,0.0,0.0,0.0,0.0,9.803453744100869e-05
22,6.556005839487953,0.0,0.0,0.0,0.0,9.781175423251735e-05
23,6.4862099981985954,0.0,0.0,0.0,0.0,9.757729755661011e-05
24,6.475787754872399,0.0,0.0,0.0,0.0,9.73312252619635e-05
25,6.437443993102883,0.0,0.0,0.0,0.0,9.707359806323416e-05
26,6.394238245995688,0.0,0.0,0.0,0.0,9.680447952607844e-05
27,6.3773979711306605,0.0,0.0,0.0,0.0,9.652393605146843e-05
28,6.3646429929688075,0.0,0.0,0.0,0.0,9.623203685930868e-05
29,6.292331397250931,0.0,0.0,0.0,0.0,9.592885397135704e-05
30,6.2775542476165915,0.9407119098163786,0.7828431627465869,0.6637680366489142,0.5739287091404833,9.561446219345451e-05
31,6.253360364109419,0.0,0.0,0.0,0.0,9.528893909706794e-05
32,6.217557418967875,0.0,0.0,0.0,0.0,9.495236500015045e-05
33,6.2306611752623065,0.0,0.0,0.0,0.0,9.460482294732418e-05
34,6.196283189041354,0.0,0.0,0.0,0.0,9.424639868939032e-05
35,6.153116081563217,0.0,0.0,0.0,0.0,9.387718066217123e-05
36,6.113362560904987,0.0,0.0,0.0,0.0,9.349725996469046e-05
37,6.137549906545341,0.0,0.0,0.0,0.0,9.31067303366952e-05
38,6.097129381098453,0.0,0.0,0.0,0.0,9.270568813552755e-05
39,6.102481905317984,0.0,0.0,0.0,0.0,9.229423231234973e-05
40,6.07484076938358,0.8872831846986499,0.8098299959857699,0.6929396434857825,0.5961354092975326,9.187246438772937e-05
41,6.056972822306846,0.0,0.0,0.0,0.0,9.144048842659079e-05
42,6.058015649352593,0.0,0.0,0.0,0.0,9.099841101253865e-05
43,6.030278409261839,0.0,0.0,0.0,0.0,9.054634122155989e-05
44,6.034758140690519,0.0,0.0,0.0,0.0,9.008439059511098e-05
45,6.036160704083917,0.0,0.0,0.0,0.0,8.961267311259666e-05
46,6.010324430691687,0.0,0.0,0.0,0.0,8.913130516324732e-05
47,5.995925062640583,0.0,0.0,0.0,0.0,8.864040551740156e-05
48,5.980477154537399,0.0,0.0,0.0,0.0,8.814009529720153e-05
49,5.956828890253583,0.0,0.0,0.0,0.0,8.763049794670775e-05
50,5.99295888918836,0.8481634159882864,0.8283719638391244,0.7204869146872722,0.6246164201325249,8.711173920144117e-05
51,5.947417706674874,0.0,0.0,0.0,0.0,8.658394705735987e-05
52,5.979919939809501,0.0,0.0,0.0,0.0,8.604725173927785e-05
53,5.957314999747616,0.0,0.0,0.0,0.0,8.55017856687341e-05
54,5.929673420874429,0.0,0.0,0.0,0.0,8.494768343131955e-05
55,5.888966756974352,0.0,0.0,0.0,0.0,8.438508174347009e-05
56,5.864874064639847,0.0,0.0,0.0,0.0,8.381411941873378e-05
57,5.893230530887983,0.0,0.0,0.0,0.0,8.323493733352076e-05
58,5.848180524545823,0.0,0.0,0.0,0.0,8.264767839234409e-05
59,5.8389421142108064,0.0,0.0,0.0,0.0,8.205248749256013e-05
60,5.838456477034148,0.8392101441110883,0.8389240240049577,0.7296415895699785,0.6311705468512698,8.144951148861741e-05
61,5.852988066831471,0.0,0.0,0.0,0.0,8.083889915582234e-05
62,5.858478351791888,0.0,0.0,0.0,0.0,8.022080115363126e-05
63,5.836024765719735,0.0,0.0,0.0,0.0,7.959536998847742e-05
64,5.806879671829007,0.0,0.0,0.0,0.0,7.896275997614229e-05
65,5.824986457824707,0.0,0.0,0.0,0.0,7.832312720368047e-05
66,5.803566623073054,0.0,0.0,0.0,0.0,7.767662949090751e-05
67,5.800604714036552,0.0,0.0,0.0,0.0,7.702342635146032e-05
68,5.7785727152892195,0.0,0.0,0.0,0.0,7.636367895343945e-05
69,5.7895231314745,0.0,0.0,0.0,0.0,7.569755007964337e-05
70,5.78912174758188,0.8307032116821834,0.84395217212047,0.7360737156205466,0.6363326203506273,7.502520408740417e-05
71,5.781009312489586,0.0,0.0,0.0,0.0,7.434680686803489e-05
72,5.757462784012347,0.0,0.0,0.0,0.0,7.366252580589837e-05
73,5.772346345169284,0.0,0.0,0.0,0.0,7.297252973710755e-05
74,5.763817974741425,0.0,0.0,0.0,0.0,7.227698890786778e-05
75,5.749273713731088,0.0,0.0,0.0,0.0,7.157607493247108e-05
76,5.770404126406846,0.0,0.0,0.0,0.0,7.086996075095288e-05
77,5.7171498452317655,0.0,0.0,0.0,0.0,7.015882058642162e-05
78,5.747688349954325,0.0,0.0,0.0,0.0,6.944282990207194e-05
79,5.752643230402074,0.0,0.0,0.0,0.0,6.872216535789156e-05
80,5.707452948059516,0.8261623361280986,0.8491462180665502,0.7414596802296198,0.6399927467259409,6.799700476707322e-05
81,5.725410594759394,0.0,0.0,0.0,0.0,6.726752705214193e-05
82,5.703969083126123,0.0,0.0,0.0,0.0,6.653391220080839e-05
83,5.699493435321826,0.0,0.0,0.0,0.0,6.579634122155988e-05
84,5.711362547219082,0.0,0.0,0.0,0.0,6.505499609899904e-05
85,5.698503132680016,0.0,0.0,0.0,0.0,6.431005974894185e-05
86,5.6841818167700024,0.0,0.0,0.0,0.0,6.356171597328594e-05
87,5.694261117004105,0.0,0.0,0.0,0.0,6.28101494146603e-05
88,5.675225983298786,0.0,0.0,0.0,0.0,6.205554551086731e-05
