epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate
1,22.536713875865484,0.0,0.0,0.0,0.0,3.3400000000000005e-05
2,14.770937973854101,0.0,0.0,0.0,0.0,6.670000000000001e-05
3,13.216307269453438,0.0,0.0,0.0,0.0,0.0001
4,12.813611071256664,0.0,0.0,0.0,0.0,9.99938933078422e-05
5,10.626558353550626,0.0,0.0,0.0,0.0,9.997557473810371e-05
6,9.47699675175816,0.0,0.0,0.0,0.0,9.994504881061753e-05
7,8.873780209871265,0.0,0.0,0.0,0.0,9.990232305719945e-05
8,8.24993244957585,0.0,0.0,0.0,0.0,9.984740801978984e-05
9,7.904323679575988,0.0,0.0,0.0,0.0,9.978031724785246e-05
10,7.718723382995027,1.2286006723131453,0.5964962396771597,0.4673992959383313,0.4037960605078392,9.97010672950314e-05
11,7.552957241004112,0.0,0.0,0.0,0.0,9.960967771506666e-05
12,7.375055586557253,0.0,0.0,0.0,0.0,9.950617105696959e-05
13,7.223314457030093,0.0,0.0,0.0,0.0,9.939057285945931e-05
14,7.138070181082775,0.0,0.0,0.0,0.0,9.92629116446613e-05
15,7.078212478149559,0.0,0.0,0.0,0.0,9.912321891107009e-05
16,6.996615310415837,0.0,0.0,0.0,0.0,9.89715291257774e-05
17,6.944080416060172,0.0,0.0,0.0,0.0,9.880787971596799e-05
18,6.881638567594555,0.0,0.0,0.0,0.0,9.863231105968498e-05
19,6.819574145909169,0.0,0.0,0.0,0.0,9.844486647586723e-05
20,6.7935143918222725,0.9914857007208324,0.7278687990716656,0.6078993863427686,0.5216326505941951,9.824559221366101e-05
21,6.707102291956897,0.0,0.0,0.0,0.0,9.803453744100869e-05
22,6.6719398362941655,0.0,0.0,0.0,0.0,9.781175423251735e-05
23,6.604301633428058,0.0,0.0,0.0,0.0,9.757729755661011e-05
24,6.545333625016054,0.0,0.0,0.0,0.0,9.73312252619635e-05
25,6.538050470758954,0.0,0.0,0.0,0.0,9.707359806323416e-05
26,6.473329243501781,0.0,0.0,0.0,0.0,9.680447952607844e-05
27,6.4404894593767645,0.0,0.0,0.0,0.0,9.652393605146843e-05
28,6.430519442987668,0.0,0.0,0.0,0.0,9.623203685930868e-05
29,6.378082740928324,0.0,0.0,0.0,0.0,9.592885397135704e-05
30,6.349003018926105,0.9074847166027341,0.787930403151362,0.6696892457051086,0.5725666954413557,9.561446219345451e-05
31,6.331414511983429,0.0,0.0,0.0,0.0,9.528893909706794e-05
32,6.313645148164288,0.0,0.0,0.0,0.0,9.495236500015045e-05
33,6.2592508826775575,0.0,0.0,0.0,0.0,9.460482294732418e-05
