epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate
1,16.113866385690407,0.0,0.0,0.0,0.0,3.3400000000000005e-05
2,12.631319818903485,0.0,0.0,0.0,0.0,6.670000000000001e-05
3,10.803083257087598,0.0,0.0,0.0,0.0,0.0001
4,9.299353256044794,0.0,0.0,0.0,0.0,9.99938933078422e-05
5,8.366756699096536,0.0,0.0,0.0,0.0,9.997557473810371e-05
6,7.943146075117644,0.0,0.0,0.0,0.0,9.994504881061753e-05
7,7.59259157497171,0.0,0.0,0.0,0.0,9.990232305719945e-05
8,7.343408564255701,0.0,0.0,0.0,0.0,9.984740801978984e-05
9,7.158445267880698,0.0,0.0,0.0,0.0,9.978031724785246e-05
10,6.966310806184018,1.0246645254748208,0.7119433416070865,0.5791883338202036,0.49750641340001683,9.97010672950314e-05
11,6.871999024214903,0.0,0.0,0.0,0.0,9.960967771506666e-05
12,6.779503257353724,0.0,0.0,0.0,0.0,9.950617105696959e-05
13,6.700354689105427,0.0,0.0,0.0,0.0,9.939057285945931e-05
14,nan,0.0,0.0,0.0,0.0,9.92629116446613e-05
15,6.5877325839905945,0.0,0.0,0.0,0.0,9.912321891107009e-05
16,6.512479565154885,0.0,0.0,0.0,0.0,9.89715291257774e-05
17,6.483026642369998,0.0,0.0,0.0,0.0,9.880787971596799e-05
18,6.438578305086254,0.0,0.0,0.0,0.0,9.863231105968498e-05
19,6.426248315386298,0.0,0.0,0.0,0.0,9.844486647586723e-05
20,6.42225495107931,0.9592636149554026,0.7716671150864434,0.6436980923273389,0.5554095296994621,9.824559221366101e-05
21,6.396359981518786,0.0,0.0,0.0,0.0,9.803453744100869e-05
22,6.380942376304012,0.0,0.0,0.0,0.0,9.781175423251735e-05
23,6.335276624037756,0.0,0.0,0.0,0.0,9.757729755661011e-05
24,6.344590903458437,0.0,0.0,0.0,0.0,9.73312252619635e-05
25,6.325812265206287,0.0,0.0,0.0,0.0,9.707359806323416e-05
26,6.243744384620992,0.0,0.0,0.0,0.0,9.680447952607844e-05
27,6.203888755274045,0.0,0.0,0.0,0.0,9.652393605146843e-05
28,6.204046007581232,0.0,0.0,0.0,0.0,9.623203685930868e-05
29,6.173531396694093,0.0,0.0,0.0,0.0,9.592885397135704e-05
30,6.166331508148338,0.8956913124947321,0.8161501861837599,0.7015726760376714,0.6047202178037987,9.561446219345451e-05
31,6.139072131206639,0.0,0.0,0.0,0.0,9.528893909706794e-05
32,6.12912065722931,0.0,0.0,0.0,0.0,9.495236500015045e-05
33,6.109596955267739,0.0,0.0,0.0,0.0,9.460482294732418e-05
34,6.082421241778333,0.0,0.0,0.0,0.0,9.424639868939032e-05
35,6.069523714164987,0.0,0.0,0.0,0.0,9.387718066217123e-05
36,6.052540248039209,0.0,0.0,0.0,0.0,9.349725996469046e-05
37,6.079697943411732,0.0,0.0,0.0,0.0,9.31067303366952e-05
38,6.07639717264763,0.0,0.0,0.0,0.0,9.270568813552755e-05
39,6.049028762708908,0.0,0.0,0.0,0.0,9.229423231234973e-05
40,6.01601370589993,0.877740319286074,0.8272771171834473,0.7174515095249588,0.6174858843371415,9.187246438772937e-05
41,6.022395755442398,0.0,0.0,0.0,0.0,9.144048842659079e-05
42,6.006557080418013,0.0,0.0,0.0,0.0,9.099841101253865e-05
43,5.977477073669434,0.0,0.0,0.0,0.0,9.054634122155989e-05
44,5.965395751157643,0.0,0.0,0.0,0.0,9.008439059511098e-05
45,6.000010585332934,0.0,0.0,0.0,0.0,8.961267311259666e-05
46,5.959426425644572,0.0,0.0,0.0,0.0,8.913130516324732e-05
47,5.947914491897511,0.0,0.0,0.0,0.0,8.864040551740156e-05
48,5.953303572125909,0.0,0.0,0.0,0.0,8.814009529720153e-05
49,5.91048459419142,0.0,0.0,0.0,0.0,8.763049794670775e-05
50,5.91309243920855,0.8513343128420058,0.8463783423504576,0.7405830291231608,0.6407743031907507,8.711173920144117e-05
51,5.9042019143488735,0.0,0.0,0.0,0.0,8.658394705735987e-05
52,5.875416789574646,0.0,0.0,0.0,0.0,8.604725173927785e-05
53,5.883741188953273,0.0,0.0,0.0,0.0,8.55017856687341e-05
54,5.897569516258782,0.0,0.0,0.0,0.0,8.494768343131955e-05
55,5.838639634480408,0.0,0.0,0.0,0.0,8.438508174347009e-05
56,5.866207836928526,0.0,0.0,0.0,0.0,8.381411941873378e-05
57,5.842992717055913,0.0,0.0,0.0,0.0,8.323493733352076e-05
58,5.806392199620252,0.0,0.0,0.0,0.0,8.264767839234409e-05
59,5.820602902868913,0.0,0.0,0.0,0.0,8.205248749256013e-05
60,5.824615399419414,0.8422850185916537,0.8516664497210595,0.7471313672261345,0.6425806097301873,8.144951148861741e-05
61,5.847918553374955,0.0,0.0,0.0,0.0,8.083889915582234e-05
62,5.819635798015866,0.0,0.0,0.0,0.0,8.022080115363126e-05
63,5.81854191097603,0.0,0.0,0.0,0.0,7.959536998847742e-05
64,5.815636203187337,0.0,0.0,0.0,0.0,7.896275997614229e-05
65,5.802710275514431,0.0,0.0,0.0,0.0,7.832312720368047e-05
66,5.812035820495461,0.0,0.0,0.0,0.0,7.767662949090751e-05
67,5.7616444040813715,0.0,0.0,0.0,0.0,7.702342635146032e-05
68,5.771985876616708,0.0,0.0,0.0,0.0,7.636367895343945e-05
69,5.746394740461739,0.0,0.0,0.0,0.0,7.569755007964337e-05
70,5.735098330330509,0.8409508303517387,0.8564673356938616,0.7503270482553345,0.6466808364581004,7.502520408740417e-05
71,5.727284026936897,0.0,0.0,0.0,0.0,7.434680686803489e-05
72,5.715780181342391,0.0,0.0,0.0,0.0,7.366252580589837e-05
73,5.734199634660476,0.0,0.0,0.0,0.0,7.297252973710755e-05
74,5.7174649396778845,0.0,0.0,0.0,0.0,7.227698890786778e-05
75,5.729942961326707,0.0,0.0,0.0,0.0,7.157607493247108e-05
76,5.7203439197269095,0.0,0.0,0.0,0.0,7.086996075095288e-05
77,5.723220016154068,0.0,0.0,0.0,0.0,7.015882058642162e-05
