epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate
1,21.013936725272952,0.0,0.0,0.0,0.0,3.3400000000000005e-05
2,15.193192161090002,0.0,0.0,0.0,0.0,6.670000000000001e-05
3,12.56965389522896,0.0,0.0,0.0,0.0,0.0001
4,10.3954434236644,0.0,0.0,0.0,0.0,9.99938933078422e-05
5,9.416780453722623,0.0,0.0,0.0,0.0,9.997557473810371e-05
6,8.890313311210742,0.0,0.0,0.0,0.0,9.994504881061753e-05
7,8.191388087250045,0.0,0.0,0.0,0.0,9.990232305719945e-05
8,7.95202796041118,0.0,0.0,0.0,0.0,9.984740801978984e-05
9,7.758679900689148,0.0,0.0,0.0,0.0,9.978031724785246e-05
10,7.653970029116807,1.2385410595507849,0.6676174785913236,0.526842091549725,0.4547461882876387,9.97010672950314e-05
11,7.610003647646068,0.0,0.0,0.0,0.0,9.960967771506666e-05
12,7.496471870566996,0.0,0.0,0.0,0.0,9.950617105696959e-05
13,7.402518672400741,0.0,0.0,0.0,0.0,9.939057285945931e-05
14,7.312487453081031,0.0,0.0,0.0,0.0,9.92629116446613e-05
15,7.199249868709329,0.0,0.0,0.0,0.0,9.912321891107009e-05
16,7.082958447424722,0.0,0.0,0.0,0.0,9.89715291257774e-05
17,7.031592940832201,0.0,0.0,0.0,0.0,9.880787971596799e-05
18,6.967929858167024,0.0,0.0,0.0,0.0,9.863231105968498e-05
19,6.89162645294768,0.0,0.0,0.0,0.0,9.844486647586723e-05
20,6.887054178952041,1.0219420599085944,0.761572530211231,0.6387018796669347,0.55189430435982,9.824559221366101e-05
21,6.818993150340438,0.0,0.0,0.0,0.0,9.803453744100869e-05
22,6.814969006307882,0.0,0.0,0.0,0.0,9.781175423251735e-05
23,6.729794850281629,0.0,0.0,0.0,0.0,9.757729755661011e-05
24,6.742395168232127,0.0,0.0,0.0,0.0,9.73312252619635e-05
25,6.701695632030614,0.0,0.0,0.0,0.0,9.707359806323416e-05
26,6.648621199820279,0.0,0.0,0.0,0.0,9.680447952607844e-05
27,6.649990841110736,0.0,0.0,0.0,0.0,9.652393605146843e-05
28,6.631063391247067,0.0,0.0,0.0,0.0,9.623203685930868e-05
29,6.59335490990589,0.0,0.0,0.0,0.0,9.592885397135704e-05
30,6.56868392483318,0.9597830431801933,0.8091411673099249,0.6879408088309942,0.590570483570736,9.561446219345451e-05
31,6.557511379368497,0.0,0.0,0.0,0.0,9.528893909706794e-05
32,6.519061221895624,0.0,0.0,0.0,0.0,9.495236500015045e-05
33,6.523987015276724,0.0,0.0,0.0,0.0,9.460482294732418e-05
34,6.524271268980198,0.0,0.0,0.0,0.0,9.424639868939032e-05
35,6.478608789037189,0.0,0.0,0.0,0.0,9.387718066217123e-05
36,6.438203714470163,0.0,0.0,0.0,0.0,9.349725996469046e-05
37,6.443447054279924,0.0,0.0,0.0,0.0,9.31067303366952e-05
38,6.395669623008836,0.0,0.0,0.0,0.0,9.270568813552755e-05
39,6.3921417715425175,0.0,0.0,0.0,0.0,9.229423231234973e-05
40,6.357257447536523,0.8827748681817736,0.8317823074482193,0.71521734855694,0.6141577499495285,9.187246438772937e-05
41,6.347093080457353,0.0,0.0,0.0,0.0,9.144048842659079e-05
42,6.3105437224510155,0.0,0.0,0.0,0.0,9.099841101253865e-05
43,6.269302413361897,0.0,0.0,0.0,0.0,9.054634122155989e-05
44,6.294138955843957,0.0,0.0,0.0,0.0,9.008439059511098e-05
45,6.296440386659161,0.0,0.0,0.0,0.0,8.961267311259666e-05
46,6.2612528100397915,0.0,0.0,0.0,0.0,8.913130516324732e-05
47,6.235215135095244,0.0,0.0,0.0,0.0,8.864040551740156e-05
48,6.223976829040672,0.0,0.0,0.0,0.0,8.814009529720153e-05
49,6.221591511043892,0.0,0.0,0.0,0.0,8.763049794670775e-05
