epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate
1,29.45049355301676,0.0,0.0,0.0,0.0,3.3400000000000005e-05
2,21.47224841540373,0.0,0.0,0.0,0.0,6.670000000000001e-05
3,19.238931541201435,0.0,0.0,0.0,0.0,0.0001
4,18.182995126217225,0.0,0.0,0.0,0.0,9.99938933078422e-05
5,15.266096250920356,0.0,0.0,0.0,0.0,9.997557473810371e-05
6,11.00105291378649,0.0,0.0,0.0,0.0,9.994504881061753e-05
7,9.94443788407724,0.0,0.0,0.0,0.0,9.990232305719945e-05
8,9.448294757287714,0.0,0.0,0.0,0.0,9.984740801978984e-05
9,9.13679511939423,0.0,0.0,0.0,0.0,9.978031724785246e-05
10,8.925085852417764,1.095973301974554,0.7482111717365054,0.623993295899541,0.5429192885257901,9.97010672950314e-05
11,8.75539215757877,0.0,0.0,0.0,0.0,9.960967771506666e-05
12,8.612544839895225,0.0,0.0,0.0,0.0,9.950617105696959e-05
13,8.410257946086835,0.0,0.0,0.0,0.0,9.939057285945931e-05
14,8.430144986019858,0.0,0.0,0.0,0.0,9.92629116446613e-05
15,8.383157796497587,0.0,0.0,0.0,0.0,9.912321891107009e-05
16,8.217599511146545,0.0,0.0,0.0,0.0,9.89715291257774e-05
17,8.145600875721701,0.0,0.0,0.0,0.0,9.880787971596799e-05
18,8.067098504380334,0.0,0.0,0.0,0.0,9.863231105968498e-05
19,8.01988130430632,0.0,0.0,0.0,0.0,9.844486647586723e-05
20,7.929506909998158,0.9374338255988227,0.8286372756127469,0.7213166717049742,0.6283064925464972,9.824559221366101e-05
21,7.906453232221965,0.0,0.0,0.0,0.0,9.803453744100869e-05
22,7.825783074656619,0.0,0.0,0.0,0.0,9.781175423251735e-05
23,7.792461368102062,0.0,0.0,0.0,0.0,9.757729755661011e-05
24,7.754946263530586,0.0,0.0,0.0,0.0,9.73312252619635e-05
25,7.770354267917102,0.0,0.0,0.0,0.0,9.707359806323416e-05
26,7.67279054545149,0.0,0.0,0.0,0.0,9.680447952607844e-05
27,7.650154395948483,0.0,0.0,0.0,0.0,9.652393605146843e-05
28,7.601992071429385,0.0,0.0,0.0,0.0,9.623203685930868e-05
29,7.575585403019869,0.0,0.0,0.0,0.0,9.592885397135704e-05
30,7.583383511893357,0.8890230967884972,0.8576838969037075,0.7541037863998842,0.6567650477510675,9.561446219345451e-05
31,7.539184494863583,0.0,0.0,0.0,0.0,9.528893909706794e-05
32,7.517758708965929,0.0,0.0,0.0,0.0,9.495236500015045e-05
33,7.518427933318706,0.0,0.0,0.0,0.0,9.460482294732418e-05
34,7.53449073018907,0.0,0.0,0.0,0.0,9.424639868939032e-05
35,7.506877929349489,0.0,0.0,0.0,0.0,9.387718066217123e-05
36,7.503863583637189,0.0,0.0,0.0,0.0,9.349725996469046e-05
37,7.475551505632039,0.0,0.0,0.0,0.0,9.31067303366952e-05
38,7.473126218288759,0.0,0.0,0.0,0.0,9.270568813552755e-05
39,7.4816591709474976,0.0,0.0,0.0,0.0,9.229423231234973e-05
40,7.4936363681962215,0.9017082443312993,0.8623447854630694,0.7632656387086261,0.664149982862028,9.187246438772937e-05
41,7.416632394247417,0.0,0.0,0.0,0.0,9.144048842659079e-05
42,7.425585081305685,0.0,0.0,0.0,0.0,9.099841101253865e-05
43,7.469577804396424,0.0,0.0,0.0,0.0,9.054634122155989e-05
44,7.465947543518452,0.0,0.0,0.0,0.0,9.008439059511098e-05
45,7.406514074228987,0.0,0.0,0.0,0.0,8.961267311259666e-05
46,7.4060343126707435,0.0,0.0,0.0,0.0,8.913130516324732e-05
47,7.363601737384554,0.0,0.0,0.0,0.0,8.864040551740156e-05
48,7.311276841767227,0.0,0.0,0.0,0.0,8.814009529720153e-05
49,7.317969462539576,0.0,0.0,0.0,0.0,8.763049794670775e-05
50,7.308045969733709,0.8825385930046202,0.8691714296411981,0.7726143998632902,0.6742814751465127,8.711173920144117e-05
51,7.3354467410075515,0.0,0.0,0.0,0.0,8.658394705735987e-05
52,7.322810148891015,0.0,0.0,0.0,0.0,8.604725173927785e-05
53,7.331303705143023,0.0,0.0,0.0,0.0,8.55017856687341e-05
54,7.290819151492059,0.0,0.0,0.0,0.0,8.494768343131955e-05
55,7.270063895213453,0.0,0.0,0.0,0.0,8.438508174347009e-05
56,7.301507039915157,0.0,0.0,0.0,0.0,8.381411941873378e-05
57,7.281670387787155,0.0,0.0,0.0,0.0,8.323493733352076e-05
58,7.277186757401575,0.0,0.0,0.0,0.0,8.264767839234409e-05
59,7.283054433291471,0.0,0.0,0.0,0.0,8.205248749256013e-05
60,7.26706410057937,0.879763051157906,0.8694746110614436,0.7749854631075831,0.6756224094201438,8.144951148861741e-05
61,7.2607821618454365,0.0,0.0,0.0,0.0,8.083889915582234e-05
62,7.266274263587179,0.0,0.0,0.0,0.0,8.022080115363126e-05
