epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.858,2.11497,2.00457,1.8786,0.84886,0.80409,0.86454,0.65366,1.97197,1.12257,1.82701,0.00332805,0.00332805,0.00332805
2,347.072,2.06145,1.19535,1.82473,0.83182,0.84616,0.88794,0.66812,2.02066,1.05878,1.84659,0.00666098,0.00666098,0.00666098
3,507.143,2.12607,1.18124,1.84917,0.83975,0.82012,0.87591,0.65565,2.03218,1.08859,1.86016,0.00999228,0.00999228,0.00999228
4,666.952,2.11612,1.14101,1.84974,0.84908,0.82577,0.87922,0.66453,2.05302,1.0593,1.84424,0.0099945,0.0099945,0.0099945
5,826.087,2.04723,1.08842,1.83885,0.85648,0.83165,0.889,0.67375,1.96676,1.01141,1.84421,0.00999023,0.00999023,0.00999023
6,985.435,2.00146,1.0522,1.82336,0.85464,0.83902,0.89328,0.68293,1.94055,0.99334,1.82718,0.00998474,0.00998474,0.00998474
7,1145.05,1.96732,1.02231,1.81747,0.8604,0.83739,0.89218,0.67951,1.92895,1.00086,1.82767,0.00997803,0.00997803,0.00997803
8,1305.11,1.94538,1.00695,1.81325,0.86691,0.84752,0.89735,0.69386,1.8924,0.96501,1.81756,0.00997011,0.00997011,0.00997011
9,1465.02,1.92246,0.9904,1.80223,0.85864,0.83128,0.89161,0.67627,1.94146,0.9773,1.82173,0.00996097,0.00996097,0.00996097
10,1625,1.90238,0.97982,1.79657,0.86503,0.85121,0.90205,0.69754,1.90058,0.96992,1.81236,0.00995062,0.00995062,0.00995062
11,1784.65,1.89049,0.96752,1.79637,0.86764,0.84391,0.89888,0.69163,1.91751,0.97395,1.81983,0.00993906,0.00993906,0.00993906
12,1944.09,1.87759,0.95592,1.7935,0.8661,0.85439,0.90438,0.69902,1.89425,0.96838,1.81101,0.00992629,0.00992629,0.00992629
13,2103.68,1.8684,0.94717,1.78564,0.86055,0.84189,0.89706,0.68834,1.91904,0.98615,1.81771,0.00991232,0.00991232,0.00991232
14,2262.14,1.85046,0.93767,1.78285,0.85318,0.8511,0.9011,0.69714,1.88036,0.94416,1.81538,0.00989715,0.00989715,0.00989715
15,2421.21,1.84722,0.93093,1.78607,0.86055,0.8425,0.89868,0.69476,1.86978,0.97061,1.81033,0.00988079,0.00988079,0.00988079
16,2579.95,1.83267,0.92925,1.77882,0.84832,0.84165,0.88973,0.68628,1.91273,0.98543,1.81471,0.00986323,0.00986323,0.00986323
17,2738.3,1.83274,0.92596,1.778,0.87607,0.848,0.90307,0.6962,1.91083,0.97007,1.8082,0.00984449,0.00984449,0.00984449
18,2897.12,1.81961,0.91982,1.77322,0.87528,0.85259,0.9042,0.70411,1.87389,0.94993,1.80435,0.00982456,0.00982456,0.00982456
