epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.075,2.20979,2.30181,1.88943,0.80288,0.79529,0.84672,0.62655,2.07596,1.12485,1.83137,0.00332542,0.00332542,0.00332542
2,252.397,2.13222,1.26776,1.83277,0.81258,0.82245,0.86779,0.64319,2.07323,1.17819,1.84367,0.00665834,0.00665834,0.00665834
3,363.915,2.1896,1.26128,1.85115,0.7273,0.81719,0.84995,0.62546,2.08924,1.14559,1.86512,0.00998964,0.00998964,0.00998964
4,474.863,2.19321,1.21049,1.85695,0.83757,0.8203,0.87229,0.65067,2.03611,1.07158,1.85108,0.0099945,0.0099945,0.0099945
5,584.78,2.10573,1.13391,1.83962,0.85553,0.81972,0.88333,0.66388,2.00062,1.03644,1.83828,0.00999023,0.00999023,0.00999023
6,694.911,2.06059,1.0974,1.82709,0.86117,0.8273,0.88504,0.66201,1.99031,1.01154,1.83472,0.00998474,0.00998474,0.00998474
7,805.97,2.01543,1.06317,1.81922,0.85893,0.8234,0.88436,0.66206,1.96334,1.00373,1.82946,0.00997803,0.00997803,0.00997803
8,916.874,1.98702,1.04573,1.81205,0.8534,0.83276,0.88872,0.6741,1.93435,0.99987,1.81814,0.00997011,0.00997011,0.00997011
9,1027.86,1.96835,1.02889,1.80267,0.86814,0.82866,0.89554,0.67938,1.94494,1.00056,1.81773,0.00996097,0.00996097,0.00996097
10,1138.82,1.95093,1.01555,1.80007,0.84937,0.84803,0.89489,0.68347,1.94239,0.99311,1.8148,0.00995062,0.00995062,0.00995062
11,1249.6,1.92867,1.00196,1.79755,0.8585,0.8338,0.89346,0.67929,1.93632,1.00404,1.82239,0.00993906,0.00993906,0.00993906
12,1360.41,1.92247,0.99154,1.7926,0.86667,0.84292,0.89787,0.68118,1.94797,0.98504,1.81387,0.00992629,0.00992629,0.00992629
13,1471.14,1.90724,0.98426,1.78834,0.86669,0.84493,0.90023,0.69084,1.91117,0.96209,1.81218,0.00991232,0.00991232,0.00991232
14,1581.99,1.89571,0.9728,1.78664,0.87401,0.83641,0.89641,0.68255,1.93724,0.97164,1.81827,0.00989715,0.00989715,0.00989715
15,1692.92,1.88204,0.96445,1.78147,0.85729,0.84561,0.89428,0.68694,1.92116,0.97019,1.81353,0.00988079,0.00988079,0.00988079
16,1803.59,1.8784,0.95734,1.78031,0.86225,0.84375,0.89982,0.68764,1.91579,0.95684,1.81193,0.00986323,0.00986323,0.00986323
