epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.702,2.41881,3.37071,1.91454,0.74879,0.74041,0.79243,0.5725,2.1615,1.30048,1.82254,0.00332278,0.00332278,0.00332278
2,190.984,2.22798,1.41594,1.82164,0.73453,0.82112,0.84027,0.61243,2.18413,1.23974,1.82383,0.00665571,0.00665571,0.00665571
3,262.148,2.26856,1.36523,1.83377,0.81549,0.78108,0.84998,0.61689,2.212,1.22079,1.84236,0.00998701,0.00998701,0.00998701
4,332.626,2.25068,1.3017,1.83509,0.82694,0.77665,0.84718,0.61475,2.13867,1.17178,1.84133,0.0099945,0.0099945,0.0099945
5,403.32,2.16125,1.21115,1.8181,0.81539,0.80155,0.8454,0.62782,2.02784,1.12189,1.81575,0.00999023,0.00999023,0.00999023
6,473.633,2.109,1.16927,1.80694,0.82682,0.8096,0.86513,0.64473,2.04425,1.08361,1.81772,0.00998474,0.00998474,0.00998474
7,543.717,2.08281,1.14055,1.79899,0.79512,0.82159,0.84996,0.62967,2.05699,1.09495,1.81757,0.00997803,0.00997803,0.00997803
8,613.575,2.04855,1.11152,1.7943,0.78471,0.82624,0.85578,0.63524,2.06883,1.09867,1.81808,0.00997011,0.00997011,0.00997011
9,684.279,2.02936,1.09033,1.78721,0.82744,0.81559,0.86511,0.65142,1.97785,1.0726,1.80576,0.00996097,0.00996097,0.00996097
10,754.512,2.01104,1.07793,1.7803,0.79888,0.83203,0.86578,0.64855,2.01279,1.05581,1.81194,0.00995062,0.00995062,0.00995062
11,825.06,1.99085,1.06462,1.77999,0.85224,0.81169,0.87457,0.65893,1.98797,1.06268,1.80435,0.00993906,0.00993906,0.00993906
12,895.619,1.97956,1.05343,1.7762,0.84163,0.82165,0.87728,0.65411,2.0055,1.06124,1.81215,0.00992629,0.00992629,0.00992629
13,966.219,1.9717,1.0409,1.7698,0.7849,0.83503,0.86684,0.65188,2.02796,1.07536,1.80526,0.00991232,0.00991232,0.00991232
14,1036.25,1.95194,1.03142,1.76988,0.78621,0.82895,0.84096,0.62054,2.07465,1.10738,1.83064,0.00989715,0.00989715,0.00989715
15,1106.83,1.93698,1.02383,1.76701,0.84315,0.82666,0.87681,0.66086,1.9945,1.03174,1.80232,0.00988079,0.00988079,0.00988079
16,1177.28,1.93433,1.01343,1.76688,0.829,0.82734,0.86479,0.65075,1.97218,1.0277,1.80307,0.00986323,0.00986323,0.00986323
17,1248.15,1.92359,1.01075,1.76228,0.75732,0.83225,0.86055,0.6447,2.03526,1.0352,1.80676,0.00984449,0.00984449,0.00984449
18,1318.86,1.9164,0.9996,1.76123,0.79118,0.81231,0.8478,0.63835,1.96806,1.03531,1.79957,0.00982456,0.00982456,0.00982456
19,1389.39,1.91663,0.99651,1.75732,0.8327,0.83983,0.87505,0.66027,2.01626,1.05173,1.80748,0.00980345,0.00980345,0.00980345
20,1459.92,1.90463,0.99101,1.75968,0.8599,0.83073,0.88378,0.6759,1.93849,0.98498,1.78633,0.00978118,0.00978118,0.00978118
21,1530.19,1.90044,0.98701,1.75357,0.75351,0.82394,0.86078,0.65504,1.99155,1.03526,1.79676,0.00975773,0.00975773,0.00975773
22,1600.69,1.89266,0.98097,1.75456,0.86598,0.79332,0.87085,0.64632,2.07011,1.05679,1.82517,0.00973312,0.00973312,0.00973312
23,1671.02,1.88626,0.97052,1.75433,0.85197,0.82862,0.88267,0.67141,1.96973,1.01148,1.7993,0.00970736,0.00970736,0.00970736
24,1741.47,1.87797,0.97404,1.75359,0.85982,0.82665,0.88825,0.67035,1.98645,1.0043,1.79863,0.00968045,0.00968045,0.00968045
25,1811.97,1.87947,0.96763,1.75056,0.84156,0.82824,0.88319,0.66475,1.99378,1.03295,1.80396,0.00965239,0.00965239,0.00965239
26,1882.61,1.86965,0.96141,1.74863,0.85779,0.8245,0.88023,0.66286,1.9929,1.00216,1.80446,0.0096232,0.0096232,0.0096232
27,1952.99,1.86599,0.96156,1.74929,0.84881,0.82129,0.88043,0.65624,2.04239,1.02125,1.81547,0.00959289,0.00959289,0.00959289
28,2023.28,1.86483,0.95218,1.74856,0.86003,0.82951,0.88721,0.67491,1.9526,0.98982,1.79651,0.00956145,0.00956145,0.00956145
29,2093.75,1.85673,0.95187,1.74309,0.84438,0.84056,0.88699,0.67651,1.96082,0.98366,1.79604,0.00952889,0.00952889,0.00952889
30,2164.17,1.84953,0.94627,1.74473,0.87003,0.82319,0.88667,0.67968,1.94035,0.97722,1.78957,0.00949524,0.00949524,0.00949524
31,2234.31,1.85504,0.94752,1.74479,0.85305,0.82898,0.88602,0.6672,1.98962,0.99997,1.80085,0.00946048,0.00946048,0.00946048
32,2304.57,1.84627,0.94199,1.74277,0.87218,0.83135,0.89187,0.6772,1.97016,0.9798,1.79844,0.00942464,0.00942464,0.00942464
33,2374.88,1.83922,0.93532,1.74226,0.86734,0.82345,0.88941,0.67337,1.98057,0.98087,1.79729,0.00938772,0.00938772,0.00938772
34,2445.4,1.83703,0.93352,1.73982,0.85063,0.83019,0.88318,0.66709,2.01748,0.99877,1.80301,0.00934973,0.00934973,0.00934973
35,2515.8,1.83173,0.92573,1.73873,0.86878,0.83402,0.89437,0.68185,1.97412,0.96896,1.79426,0.00931067,0.00931067,0.00931067
36,2586.34,1.83038,0.93094,1.73764,0.86295,0.84221,0.89705,0.68213,1.98651,0.96922,1.79593,0.00927057,0.00927057,0.00927057
37,2656.8,1.82944,0.92737,1.73646,0.8485,0.83312,0.88608,0.67309,1.9681,0.98631,1.79556,0.00922942,0.00922942,0.00922942
38,2727.43,1.82759,0.92704,1.735,0.83909,0.84119,0.8896,0.68426,1.93497,0.97329,1.7837,0.00918725,0.00918725,0.00918725
39,2798.08,1.82546,0.92391,1.7332,0.85125,0.82677,0.88802,0.67564,1.99214,0.98716,1.79601,0.00914405,0.00914405,0.00914405
40,2868.55,1.82121,0.92002,1.73458,0.85664,0.83761,0.89226,0.68288,1.94639,0.96663,1.78911,0.00909984,0.00909984,0.00909984
41,2939.2,1.82267,0.91797,1.73426,0.85284,0.85083,0.90017,0.69322,1.92881,0.9518,1.78248,0.00905463,0.00905463,0.00905463
42,3009.78,1.81678,0.91569,1.73434,0.87873,0.82356,0.89254,0.6787,1.97708,0.97891,1.79492,0.00900844,0.00900844,0.00900844
43,3080.28,1.8151,0.91308,1.73136,0.85726,0.84079,0.89451,0.68376,1.95711,0.97001,1.7878,0.00896127,0.00896127,0.00896127
44,3150.84,1.81325,0.91229,1.73129,0.84208,0.80906,0.87999,0.66608,1.97769,0.99546,1.79761,0.00891313,0.00891313,0.00891313
45,3221.23,1.81168,0.91186,1.7329,0.86989,0.82125,0.89433,0.6843,1.9529,0.96795,1.78806,0.00886404,0.00886404,0.00886404
46,3291.49,1.80336,0.90632,1.73069,0.8604,0.83015,0.89025,0.67698,1.99745,0.99595,1.7964,0.00881401,0.00881401,0.00881401
47,3361.46,1.80083,0.90475,1.73204,0.85911,0.86248,0.90477,0.69601,1.93243,0.94531,1.78634,0.00876305,0.00876305,0.00876305
48,3431.83,1.79607,0.90277,1.73111,0.85382,0.84781,0.89549,0.68809,1.94072,0.95266,1.78849,0.00871117,0.00871117,0.00871117
49,3502.15,1.79189,0.9,1.72911,0.8596,0.83979,0.89388,0.68343,1.96325,0.96797,1.79251,0.00865839,0.00865839,0.00865839
50,3572.66,1.79112,0.89699,1.72806,0.875,0.84651,0.90174,0.69796,1.90957,0.94301,1.77845,0.00860473,0.00860473,0.00860473
51,3643.09,1.79108,0.89779,1.72742,0.87471,0.8343,0.89378,0.6887,1.92874,0.95739,1.78132,0.00855018,0.00855018,0.00855018
