epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.283,2.41985,3.37431,1.91493,0.73738,0.74288,0.78898,0.57315,2.14237,1.28198,1.82048,0.00332278,0.00332278,0.00332278
2,170.96,2.22729,1.41344,1.8212,0.74927,0.81484,0.83923,0.60518,2.21768,1.28216,1.84112,0.00665571,0.00665571,0.00665571
3,241.04,2.27093,1.36242,1.83367,0.80628,0.78049,0.84953,0.61048,2.23784,1.22682,1.84077,0.00998701,0.00998701,0.00998701
4,311.028,2.25276,1.29669,1.83716,0.82814,0.78445,0.8495,0.61485,2.14294,1.18025,1.83765,0.0099945,0.0099945,0.0099945
5,380.734,2.16005,1.21598,1.81707,0.82786,0.81098,0.861,0.63476,2.05912,1.1058,1.81996,0.00999023,0.00999023,0.00999023
6,450.444,2.11027,1.16285,1.80733,0.79716,0.82239,0.86887,0.64888,2.04143,1.10764,1.81645,0.00998474,0.00998474,0.00998474
7,520.489,2.07218,1.13435,1.79997,0.77697,0.82348,0.85216,0.62706,2.10497,1.11499,1.82185,0.00997803,0.00997803,0.00997803
8,590.204,2.04699,1.11356,1.79496,0.79272,0.82827,0.86184,0.64425,2.03743,1.08327,1.80787,0.00997011,0.00997011,0.00997011
9,660.019,2.02913,1.09406,1.78758,0.76733,0.83091,0.85659,0.64399,1.98658,1.07367,1.8085,0.00996097,0.00996097,0.00996097
10,729.652,2.0112,1.08136,1.78191,0.82312,0.82478,0.87064,0.64832,2.05281,1.07982,1.81662,0.00995062,0.00995062,0.00995062
11,799.405,1.99795,1.06355,1.78313,0.78316,0.82948,0.86643,0.64865,2.00265,1.0685,1.80556,0.00993906,0.00993906,0.00993906
12,868.961,1.98079,1.05727,1.77646,0.85549,0.8105,0.87279,0.65274,2.00325,1.05721,1.80953,0.00992629,0.00992629,0.00992629
13,938.429,1.97377,1.04406,1.77213,0.78928,0.84865,0.87023,0.65083,2.03897,1.06793,1.81714,0.00991232,0.00991232,0.00991232
14,1008.08,1.9534,1.0335,1.77078,0.78325,0.8535,0.86371,0.64475,2.01987,1.08997,1.81674,0.00989715,0.00989715,0.00989715
15,1077.79,1.94365,1.02227,1.76908,0.81146,0.8493,0.88278,0.66589,1.97233,1.02174,1.79993,0.00988079,0.00988079,0.00988079
16,1147.38,1.93249,1.01542,1.76753,0.83732,0.82917,0.87781,0.65914,2.00072,1.03514,1.8098,0.00986323,0.00986323,0.00986323
17,1217.12,1.92705,1.00851,1.76356,0.82577,0.83842,0.87459,0.65345,2.0462,1.03639,1.81535,0.00984449,0.00984449,0.00984449
18,1286.88,1.91415,1.00298,1.76157,0.85627,0.82208,0.87829,0.66403,1.96088,1.01835,1.79786,0.00982456,0.00982456,0.00982456
19,1356.34,1.91576,0.99726,1.75856,0.81633,0.81196,0.84935,0.63497,2.03098,1.08365,1.81688,0.00980345,0.00980345,0.00980345
20,1425.85,1.90536,0.99296,1.75961,0.76201,0.83541,0.86438,0.65025,1.98784,1.01333,1.8032,0.00978118,0.00978118,0.00978118
21,1495.21,1.90344,0.98791,1.75493,0.79881,0.83095,0.86122,0.65421,1.9839,1.02451,1.79903,0.00975773,0.00975773,0.00975773
22,1564.61,1.89495,0.98404,1.75773,0.8282,0.81494,0.87062,0.6561,1.99162,1.01687,1.80413,0.00973312,0.00973312,0.00973312
23,1633.69,1.88779,0.97692,1.75415,0.81646,0.82143,0.8723,0.6586,1.98528,1.03408,1.80326,0.00970736,0.00970736,0.00970736
24,1703.19,1.87779,0.97594,1.75395,0.79795,0.85848,0.88417,0.66988,1.97483,1.00104,1.79178,0.00968045,0.00968045,0.00968045
25,1772.78,1.87774,0.97128,1.75188,0.82602,0.84127,0.88329,0.6674,1.97238,1.01997,1.79627,0.00965239,0.00965239,0.00965239
26,1842.23,1.87113,0.96004,1.74898,0.73819,0.84666,0.8761,0.66817,1.96119,0.98959,1.79347,0.0096232,0.0096232,0.0096232
27,1911.59,1.86603,0.95895,1.74764,0.75083,0.82363,0.86868,0.6512,2.01417,1.0367,1.80801,0.00959289,0.00959289,0.00959289
28,1980.95,1.86555,0.95547,1.74969,0.83295,0.73308,0.86205,0.65371,1.97086,1.03882,1.79712,0.00956145,0.00956145,0.00956145
29,2050.48,1.85776,0.95436,1.74294,0.76242,0.8429,0.88323,0.67602,1.93731,0.98396,1.7841,0.00952889,0.00952889,0.00952889
30,2119.66,1.84989,0.94717,1.7436,0.80537,0.81828,0.87053,0.66269,1.9707,0.99493,1.79282,0.00949524,0.00949524,0.00949524
31,2188.64,1.85513,0.9496,1.74189,0.77335,0.85522,0.88663,0.67326,1.97167,1.0005,1.79584,0.00946048,0.00946048,0.00946048
32,2257.66,1.8449,0.94221,1.742,0.85984,0.81948,0.8818,0.66646,1.98345,1.01011,1.80053,0.00942464,0.00942464,0.00942464
33,2326.72,1.83975,0.93735,1.7412,0.77371,0.84429,0.88038,0.66541,1.96727,0.99131,1.794,0.00938772,0.00938772,0.00938772
34,2395.8,1.83891,0.93175,1.74023,0.84782,0.83054,0.88558,0.67064,1.98088,1.00204,1.79451,0.00934973,0.00934973,0.00934973
35,2465.1,1.83189,0.9303,1.7386,0.80066,0.85129,0.88005,0.66505,2.0041,1.01497,1.79683,0.00931067,0.00931067,0.00931067
36,2534.41,1.83279,0.93144,1.74083,0.76014,0.8444,0.8678,0.65638,2.0043,1.00154,1.80478,0.00927057,0.00927057,0.00927057
37,2602.88,1.8298,0.92979,1.7399,0.8144,0.84623,0.8815,0.67365,1.9304,0.99312,1.7877,0.00922942,0.00922942,0.00922942
38,2672.25,1.82785,0.92764,1.73754,0.81641,0.85121,0.88464,0.67218,1.96399,0.98764,1.794,0.00918725,0.00918725,0.00918725
39,2741.61,1.82389,0.92178,1.73579,0.86566,0.83151,0.8905,0.67861,1.97613,0.98785,1.7947,0.00914405,0.00914405,0.00914405
40,2810.78,1.82167,0.92046,1.73473,0.83314,0.83346,0.88666,0.67646,1.94946,0.99304,1.79045,0.00909984,0.00909984,0.00909984
41,2879.11,1.82212,0.91575,1.73568,0.77033,0.87042,0.89178,0.6853,1.92632,0.96392,1.78438,0.00905463,0.00905463,0.00905463
42,2947.95,1.81739,0.91354,1.73642,0.84208,0.85024,0.89254,0.68124,1.95926,0.97897,1.79315,0.00900844,0.00900844,0.00900844
43,3017.22,1.81677,0.91429,1.73334,0.85805,0.72885,0.82826,0.63927,1.9632,1.03463,1.78931,0.00896127,0.00896127,0.00896127
44,3086.47,1.81338,0.91219,1.73418,0.83343,0.70664,0.83548,0.6393,1.96833,1.01501,1.79486,0.00891313,0.00891313,0.00891313
45,3155.81,1.81364,0.91288,1.73468,0.8571,0.73352,0.87082,0.66576,1.95326,0.99217,1.79021,0.00886404,0.00886404,0.00886404
46,3225,1.80712,0.90829,1.733,0.78313,0.8595,0.89255,0.68459,1.94158,0.98689,1.78525,0.00881401,0.00881401,0.00881401
47,3293.99,1.80303,0.90413,1.73154,0.82398,0.86277,0.8975,0.69112,1.91763,0.93797,1.78208,0.00876305,0.00876305,0.00876305
48,3363.24,1.7968,0.90315,1.73381,0.83823,0.86313,0.89827,0.69046,1.93152,0.95119,1.78671,0.00871117,0.00871117,0.00871117
49,3432.48,1.7947,0.89864,1.73209,0.85486,0.85726,0.89868,0.69238,1.92595,0.95353,1.78355,0.00865839,0.00865839,0.00865839
50,3502.01,1.79353,0.89667,1.7296,0.84275,0.83762,0.88696,0.67772,1.93982,0.96821,1.78757,0.00860473,0.00860473,0.00860473
51,3571.4,1.79136,0.89711,1.72907,0.86379,0.84681,0.9003,0.69313,1.91327,0.94335,1.78049,0.00855018,0.00855018,0.00855018
52,3640.81,1.79093,0.8949,1.72822,0.84204,0.86512,0.90145,0.6927,1.92893,0.96512,1.78408,0.00849477,0.00849477,0.00849477
53,3710.2,1.7895,0.89252,1.72708,0.86974,0.85183,0.90395,0.69616,1.91418,0.94385,1.78153,0.00843851,0.00843851,0.00843851
54,3779.55,1.78598,0.89394,1.7278,0.83036,0.85839,0.8948,0.68805,1.90847,0.95117,1.77882,0.00838141,0.00838141,0.00838141
55,3848.95,1.78439,0.88875,1.72623,0.83913,0.83402,0.88156,0.66706,1.95967,0.97179,1.79249,0.00832349,0.00832349,0.00832349
56,3918.06,1.78138,0.88551,1.72514,0.84889,0.84393,0.89482,0.68102,1.96135,0.96558,1.78834,0.00826477,0.00826477,0.00826477
57,3987.49,1.77555,0.88196,1.72518,0.81423,0.86028,0.88866,0.68566,1.92817,0.95315,1.78512,0.00820525,0.00820525,0.00820525
58,4056.78,1.77561,0.87761,1.72349,0.83196,0.85945,0.89566,0.69223,1.9136,0.95181,1.78063,0.00814495,0.00814495,0.00814495
59,4126.16,1.77364,0.8786,1.72179,0.81546,0.87012,0.8924,0.6873,1.93727,0.96493,1.79037,0.00808389,0.00808389,0.00808389
60,4195.12,1.76581,0.87691,1.72407,0.85878,0.83831,0.89412,0.69112,1.92572,0.95652,1.78521,0.00802208,0.00802208,0.00802208
61,4264.45,1.77138,0.87853,1.72264,0.82798,0.87379,0.89772,0.69291,1.9291,0.9616,1.78139,0.00795954,0.00795954,0.00795954
62,4333.75,1.76188,0.87302,1.7233,0.88094,0.8438,0.9015,0.69647,1.93087,0.95476,1.78401,0.00789628,0.00789628,0.00789628
63,4403.14,1.76518,0.87282,1.7213,0.87337,0.8483,0.90368,0.69749,1.92388,0.93845,1.78237,0.00783231,0.00783231,0.00783231
64,4472.57,1.75564,0.86797,1.72256,0.87426,0.84052,0.90003,0.69422,1.9382,0.948,1.785,0.00776766,0.00776766,0.00776766
65,4541.9,1.75693,0.86727,1.72097,0.87724,0.84005,0.89825,0.69459,1.93151,0.95323,1.78307,0.00770234,0.00770234,0.00770234
66,4611.3,1.75613,0.86386,1.72126,0.86593,0.8446,0.89737,0.6896,1.95951,0.96164,1.78959,0.00763637,0.00763637,0.00763637
67,4680.66,1.75162,0.86033,1.71972,0.84085,0.85297,0.90024,0.69329,1.94233,0.95064,1.78412,0.00756976,0.00756976,0.00756976
68,4749.48,1.75659,0.8632,1.71767,0.85161,0.86252,0.9003,0.69944,1.91993,0.94074,1.77884,0.00750252,0.00750252,0.00750252
69,4818.03,1.74654,0.85969,1.72014,0.84428,0.87265,0.90635,0.70402,1.90975,0.93134,1.77826,0.00743468,0.00743468,0.00743468
70,4887.4,1.74523,0.86177,1.71996,0.85539,0.86712,0.90512,0.70379,1.91035,0.93871,1.77511,0.00736625,0.00736625,0.00736625
71,4956.71,1.7409,0.85524,1.71844,0.86109,0.84297,0.89267,0.68979,1.93895,0.95183,1.78329,0.00729725,0.00729725,0.00729725
72,5025.76,1.73557,0.85084,1.71675,0.82694,0.85954,0.88109,0.67756,1.95006,0.96231,1.78766,0.0072277,0.0072277,0.0072277
73,5095.03,1.73654,0.85344,1.71701,0.81105,0.87535,0.89802,0.69615,1.91706,0.93534,1.77828,0.00715761,0.00715761,0.00715761
74,5164.3,1.73476,0.85418,1.71504,0.81168,0.86765,0.89859,0.69705,1.91426,0.93348,1.77794,0.007087,0.007087,0.007087
75,5233.48,1.72954,0.84768,1.71545,0.83363,0.85667,0.8947,0.6866,1.95906,0.95886,1.78938,0.00701588,0.00701588,0.00701588
76,5302.79,1.7251,0.84712,1.71713,0.81751,0.85693,0.89502,0.68924,1.93821,0.94568,1.78331,0.00694428,0.00694428,0.00694428
77,5372.05,1.72581,0.84415,1.71607,0.81904,0.85552,0.89014,0.68568,1.95701,0.96061,1.78817,0.00687222,0.00687222,0.00687222
78,5441.21,1.72375,0.8457,1.71264,0.81011,0.84852,0.88816,0.68679,1.94634,0.95425,1.78546,0.0067997,0.0067997,0.0067997
79,5510.5,1.71926,0.84072,1.70761,0.84392,0.86952,0.9016,0.69739,1.93173,0.94699,1.77736,0.00672675,0.00672675,0.00672675
80,5579.66,1.7193,0.83959,1.7119,0.86639,0.85316,0.89982,0.69855,1.92084,0.93577,1.78089,0.00665339,0.00665339,0.00665339
81,5648.8,1.71679,0.84064,1.71137,0.87672,0.84899,0.90275,0.7004,1.9257,0.9325,1.7789,0.00657963,0.00657963,0.00657963
82,5718.07,1.71262,0.83699,1.70934,0.8669,0.8494,0.8982,0.69569,1.93061,0.93922,1.78025,0.0065055,0.0065055,0.0065055
83,5787.11,1.70903,0.83202,1.71026,0.83157,0.84933,0.89356,0.69125,1.93437,0.94544,1.78455,0.00643101,0.00643101,0.00643101
84,5856.13,1.70433,0.82672,1.70891,0.83389,0.86286,0.89954,0.69524,1.93542,0.94016,1.78444,0.00635617,0.00635617,0.00635617
85,5924.84,1.70128,0.82952,1.70737,0.85286,0.85711,0.90014,0.69615,1.94027,0.93973,1.78191,0.00628101,0.00628101,0.00628101
86,5993.69,1.69562,0.82653,1.7088,0.86293,0.85211,0.8995,0.69663,1.94348,0.93456,1.78292,0.00620555,0.00620555,0.00620555
87,6062.82,1.69708,0.82508,1.70599,0.85058,0.85493,0.89998,0.69395,1.9544,0.94529,1.78199,0.00612981,0.00612981,0.00612981
88,6131.83,1.69318,0.82318,1.70294,0.82482,0.85802,0.89647,0.69191,1.96058,0.94604,1.78628,0.0060538,0.0060538,0.0060538
89,6200.7,1.69199,0.81908,1.70306,0.8447,0.85188,0.89726,0.69321,1.95799,0.94816,1.78695,0.00597754,0.00597754,0.00597754
