epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.116,0.94317,0.86167,0.93444,0.85407,0.8357,0.88554,0.66683,0.8886,0.52049,0.89978,0.00332805,0.00332805,0.00332805
2,311.264,0.91104,0.58528,0.90456,0.85288,0.86084,0.89944,0.67826,0.90593,0.54844,0.9054,0.00666098,0.00666098,0.00666098
3,457.549,0.94106,0.59277,0.91765,0.83702,0.86209,0.89238,0.6719,0.88995,0.55303,0.9153,0.00999228,0.00999228,0.00999228
4,603.188,0.93327,0.57541,0.91966,0.86789,0.85288,0.90141,0.67888,0.91098,0.54264,0.91922,0.0099945,0.0099945,0.0099945
5,748.948,0.90719,0.54489,0.9153,0.86858,0.85364,0.89454,0.68006,0.87937,0.51895,0.91221,0.00999023,0.00999023,0.00999023
6,894.528,0.88545,0.52967,0.90704,0.87919,0.85549,0.9058,0.68838,0.88405,0.50593,0.91256,0.00998474,0.00998474,0.00998474
7,1039.95,0.87391,0.51639,0.90654,0.86305,0.85587,0.90404,0.68704,0.87892,0.50952,0.90892,0.00997803,0.00997803,0.00997803
8,1185.38,0.86261,0.50728,0.90239,0.87454,0.8593,0.9044,0.69388,0.86153,0.5013,0.90638,0.00997011,0.00997011,0.00997011
9,1330.62,0.85462,0.49934,0.89984,0.88192,0.84938,0.90626,0.69281,0.85574,0.49673,0.90381,0.00996097,0.00996097,0.00996097
10,1476.62,0.84717,0.49624,0.8951,0.87903,0.86404,0.91017,0.69733,0.85782,0.4896,0.90161,0.00995062,0.00995062,0.00995062
11,1623.19,0.84039,0.49198,0.89509,0.87582,0.866,0.91202,0.69929,0.86095,0.48978,0.90345,0.00993906,0.00993906,0.00993906
12,1769.63,0.83644,0.48467,0.89453,0.87133,0.85176,0.90449,0.69451,0.86029,0.49996,0.90498,0.00992629,0.00992629,0.00992629
13,1915.76,0.83092,0.48029,0.89084,0.8785,0.86099,0.91021,0.69825,0.86519,0.49238,0.90247,0.00991232,0.00991232,0.00991232
14,2062.23,0.82703,0.4754,0.88971,0.86924,0.87006,0.91169,0.70305,0.85573,0.47835,0.9015,0.00989715,0.00989715,0.00989715
15,2208.08,0.82222,0.47336,0.89096,0.88147,0.8564,0.91021,0.69733,0.85419,0.4805,0.90211,0.00988079,0.00988079,0.00988079
16,2354.12,0.81825,0.47022,0.88655,0.87255,0.85887,0.90361,0.69656,0.85421,0.48057,0.90047,0.00986323,0.00986323,0.00986323
17,2500.18,0.81518,0.46725,0.88623,0.87854,0.85639,0.90739,0.6956,0.87024,0.48763,0.9039,0.00984449,0.00984449,0.00984449
