epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.1517,1.14148,1.47218,0.99396,0.77813,0.7504,0.80128,0.56437,0.99186,0.66527,0.91261,0.00331224,0.00331224,0.00331224
2,125.591,0.97766,0.68008,0.90259,0.83527,0.79902,0.85019,0.60063,1.02153,0.6573,0.91357,0.00664516,0.00664516,0.00664516
3,178.868,0.99103,0.66602,0.90475,0.80012,0.83552,0.8568,0.61917,0.97543,0.6649,0.90955,0.00997647,0.00997647,0.00997647
4,232.082,0.9804,0.63429,0.90449,0.8471,0.82449,0.87876,0.63412,0.98037,0.60847,0.90985,0.0099945,0.0099945,0.0099945
5,285.466,0.94422,0.59733,0.89728,0.85908,0.80787,0.8735,0.64761,0.93002,0.58778,0.89935,0.00999023,0.00999023,0.00999023
6,338.4,0.92289,0.57222,0.89116,0.85738,0.80638,0.87,0.64594,0.92832,0.58461,0.89668,0.00998474,0.00998474,0.00998474
7,391.232,0.9059,0.56302,0.88825,0.85745,0.82498,0.88756,0.66355,0.91065,0.55439,0.89556,0.00997803,0.00997803,0.00997803
8,444.115,0.89614,0.55045,0.88508,0.86083,0.82359,0.88677,0.66308,0.90428,0.56389,0.89224,0.00997011,0.00997011,0.00997011
9,496.635,0.88841,0.54161,0.88316,0.83678,0.81626,0.86442,0.64417,0.91476,0.56665,0.89551,0.00996097,0.00996097,0.00996097
10,549.25,0.88094,0.53462,0.88073,0.85723,0.79045,0.86231,0.63272,0.94476,0.57065,0.9018,0.00995062,0.00995062,0.00995062
11,601.461,0.87343,0.52887,0.87924,0.86815,0.82557,0.88438,0.66227,0.91474,0.54327,0.89478,0.00993906,0.00993906,0.00993906
12,653.363,0.86909,0.52503,0.87817,0.85336,0.82485,0.88074,0.66276,0.90109,0.54523,0.89194,0.00992629,0.00992629,0.00992629
13,705.505,0.86583,0.51967,0.8768,0.84939,0.7996,0.86664,0.63884,0.92563,0.56519,0.89646,0.00991232,0.00991232,0.00991232
14,757.616,0.85907,0.51516,0.87606,0.87048,0.82378,0.8896,0.66508,0.90902,0.53602,0.89499,0.00989715,0.00989715,0.00989715
15,809.681,0.8543,0.51064,0.8751,0.85887,0.80946,0.87711,0.65754,0.90649,0.53926,0.89088,0.00988079,0.00988079,0.00988079
16,861.758,0.85202,0.50732,0.87406,0.83341,0.82393,0.87489,0.65738,0.89739,0.53325,0.88793,0.00986323,0.00986323,0.00986323
17,914.046,0.84934,0.50527,0.8728,0.84204,0.8309,0.87689,0.65151,0.90871,0.52861,0.89162,0.00984449,0.00984449,0.00984449
18,966.097,0.84629,0.50028,0.87215,0.8696,0.82077,0.88861,0.66869,0.89644,0.53322,0.88841,0.00982456,0.00982456,0.00982456
19,1018.15,0.84459,0.49849,0.87073,0.84307,0.82493,0.87833,0.65364,0.91288,0.54121,0.89097,0.00980345,0.00980345,0.00980345
20,1070.12,0.84018,0.49583,0.87023,0.86043,0.83491,0.88766,0.66754,0.90911,0.51874,0.8897,0.00978118,0.00978118,0.00978118
21,1122.27,0.8363,0.49508,0.86823,0.87515,0.82161,0.88929,0.66774,0.90309,0.52437,0.88903,0.00975773,0.00975773,0.00975773
22,1174.27,0.83917,0.49202,0.87153,0.85874,0.81519,0.87619,0.65333,0.92206,0.53571,0.89457,0.00973312,0.00973312,0.00973312
23,1226.36,0.83332,0.49111,0.86867,0.87496,0.84354,0.90033,0.68454,0.88184,0.50484,0.88387,0.00970736,0.00970736,0.00970736
24,1278.59,0.8343,0.48932,0.86995,0.85996,0.81738,0.88317,0.66082,0.91301,0.53049,0.89342,0.00968045,0.00968045,0.00968045
25,1330.98,0.8305,0.48635,0.86881,0.87268,0.8306,0.89445,0.67812,0.88789,0.51151,0.88655,0.00965239,0.00965239,0.00965239
26,1383.04,0.82958,0.48539,0.86813,0.85414,0.83877,0.88687,0.65981,0.91527,0.51757,0.89497,0.0096232,0.0096232,0.0096232
27,1435.05,0.82687,0.48257,0.86726,0.86324,0.83516,0.89159,0.66764,0.90722,0.51279,0.89147,0.00959289,0.00959289,0.00959289
28,1486.96,0.82612,0.48165,0.86666,0.8675,0.81991,0.87696,0.65771,0.89804,0.52149,0.88893,0.00956145,0.00956145,0.00956145
29,1539.2,0.82257,0.47903,0.86704,0.84974,0.81974,0.86987,0.64862,0.89949,0.52335,0.89042,0.00952889,0.00952889,0.00952889
30,1591.19,0.82235,0.47836,0.86536,0.85055,0.83551,0.8857,0.66104,0.91061,0.51497,0.89035,0.00949524,0.00949524,0.00949524
31,1643.25,0.82018,0.47505,0.86515,0.84614,0.82514,0.88036,0.66096,0.90658,0.5261,0.89211,0.00946048,0.00946048,0.00946048
32,1695.46,0.81902,0.47434,0.86499,0.85485,0.83773,0.88463,0.66932,0.89748,0.50539,0.88788,0.00942464,0.00942464,0.00942464
33,1747.35,0.81702,0.47232,0.8652,0.86067,0.81788,0.88139,0.65627,0.92737,0.52279,0.89804,0.00938772,0.00938772,0.00938772
34,1799.28,0.81605,0.47346,0.86466,0.86436,0.83737,0.89075,0.66711,0.91365,0.51487,0.89066,0.00934973,0.00934973,0.00934973
35,1851.14,0.81612,0.47024,0.86526,0.86158,0.84433,0.89534,0.68097,0.89363,0.51264,0.88586,0.00931067,0.00931067,0.00931067
36,1903.01,0.8135,0.46947,0.86312,0.8646,0.823,0.88428,0.66232,0.91159,0.51404,0.89177,0.00927057,0.00927057,0.00927057
37,1955.04,0.80975,0.46738,0.86339,0.81426,0.8574,0.88827,0.67211,0.89305,0.51383,0.88789,0.00922942,0.00922942,0.00922942
38,2007.05,0.80945,0.46745,0.86089,0.86603,0.83053,0.89117,0.67532,0.89235,0.51122,0.88392,0.00918725,0.00918725,0.00918725
39,2059.18,0.81113,0.46674,0.86227,0.81117,0.86105,0.88276,0.66684,0.89501,0.51592,0.88817,0.00914405,0.00914405,0.00914405
40,2111.53,0.80762,0.46342,0.86295,0.84521,0.82287,0.8751,0.6508,0.91774,0.53471,0.89481,0.00909984,0.00909984,0.00909984
41,2163.56,0.80798,0.46399,0.86107,0.84927,0.84185,0.88587,0.66488,0.91424,0.51214,0.89124,0.00905463,0.00905463,0.00905463
42,2216.13,0.80428,0.4616,0.86091,0.85734,0.84481,0.89184,0.67557,0.8843,0.50185,0.88479,0.00900844,0.00900844,0.00900844
43,2268.16,0.80521,0.46118,0.8604,0.87018,0.81642,0.88309,0.66526,0.89211,0.50724,0.8878,0.00896127,0.00896127,0.00896127
44,2320.39,0.80266,0.45882,0.86065,0.87143,0.84466,0.89584,0.68544,0.8834,0.50201,0.88274,0.00891313,0.00891313,0.00891313
45,2372.89,0.80271,0.45769,0.8608,0.81476,0.84291,0.87439,0.66143,0.90309,0.51639,0.88832,0.00886404,0.00886404,0.00886404
46,2425.03,0.80024,0.45788,0.85979,0.86659,0.82689,0.88516,0.6734,0.89426,0.51834,0.88616,0.00881401,0.00881401,0.00881401
47,2476.95,0.79895,0.45632,0.85982,0.87402,0.82855,0.89256,0.67841,0.89913,0.51121,0.88736,0.00876305,0.00876305,0.00876305
48,2528.92,0.80005,0.45613,0.8607,0.87084,0.82472,0.88396,0.66501,0.90776,0.51147,0.89217,0.00871117,0.00871117,0.00871117
49,2581.19,0.79823,0.4546,0.85993,0.85758,0.82699,0.88397,0.66921,0.89061,0.50915,0.88793,0.00865839,0.00865839,0.00865839
50,2633.34,0.79724,0.45347,0.85934,0.87462,0.83692,0.89485,0.67607,0.90289,0.50531,0.88608,0.00860473,0.00860473,0.00860473
51,2685.31,0.79594,0.45217,0.85764,0.85743,0.81288,0.87696,0.66488,0.89767,0.51517,0.88905,0.00855018,0.00855018,0.00855018
52,2737.36,0.79428,0.45205,0.85938,0.86956,0.82615,0.89083,0.68083,0.8861,0.49851,0.88482,0.00849477,0.00849477,0.00849477
53,2789.14,0.7943,0.45058,0.85874,0.86239,0.83278,0.88803,0.67142,0.90751,0.50983,0.89008,0.00843851,0.00843851,0.00843851
54,2841.35,0.7931,0.44928,0.85844,0.86243,0.82772,0.8841,0.66768,0.90731,0.51223,0.89037,0.00838141,0.00838141,0.00838141
55,2893.41,0.79222,0.44861,0.85729,0.86796,0.82733,0.88903,0.67612,0.89988,0.50387,0.88866,0.00832349,0.00832349,0.00832349
56,2945.52,0.79176,0.44907,0.8572,0.87261,0.84084,0.89671,0.68373,0.88815,0.49273,0.88385,0.00826477,0.00826477,0.00826477
57,2997.47,0.78953,0.44674,0.8563,0.87134,0.82891,0.88856,0.675,0.89434,0.50208,0.88539,0.00820525,0.00820525,0.00820525
58,3049.58,0.78996,0.446,0.85707,0.86961,0.82385,0.88807,0.66941,0.89872,0.50615,0.88841,0.00814495,0.00814495,0.00814495
59,3101.71,0.78993,0.44578,0.85683,0.87798,0.8347,0.89447,0.68098,0.89307,0.48929,0.88571,0.00808389,0.00808389,0.00808389
60,3153.78,0.78665,0.44327,0.85647,0.85545,0.82392,0.88121,0.66479,0.91037,0.50517,0.89135,0.00802208,0.00802208,0.00802208
61,3205.88,0.78581,0.4429,0.85721,0.87734,0.82416,0.88834,0.67491,0.89376,0.50174,0.8872,0.00795954,0.00795954,0.00795954
62,3257.93,0.78415,0.44167,0.85655,0.85965,0.84178,0.89028,0.68039,0.88914,0.49768,0.88264,0.00789628,0.00789628,0.00789628
63,3310.01,0.78503,0.44143,0.8558,0.86235,0.82547,0.8831,0.66839,0.89484,0.50318,0.88819,0.00783231,0.00783231,0.00783231
64,3361.95,0.78386,0.44046,0.85561,0.86186,0.83329,0.88619,0.66947,0.90859,0.50098,0.88959,0.00776766,0.00776766,0.00776766
65,3413.93,0.78194,0.43794,0.85593,0.85374,0.84166,0.8878,0.67674,0.88358,0.49618,0.88373,0.00770234,0.00770234,0.00770234
66,3466.1,0.78151,0.43955,0.85651,0.86657,0.80916,0.87392,0.6631,0.89448,0.50595,0.88728,0.00763637,0.00763637,0.00763637
67,3517.74,0.78156,0.43766,0.85539,0.86708,0.82252,0.88468,0.67363,0.89512,0.50209,0.88607,0.00756976,0.00756976,0.00756976
68,3569.91,0.78049,0.43626,0.85529,0.87219,0.82799,0.88964,0.67848,0.88467,0.49526,0.88417,0.00750252,0.00750252,0.00750252
69,3621.81,0.77839,0.43541,0.85436,0.86875,0.83309,0.89084,0.67719,0.89067,0.49278,0.88548,0.00743468,0.00743468,0.00743468
70,3673.76,0.77872,0.43434,0.85453,0.86483,0.84128,0.89146,0.67782,0.88738,0.48939,0.88338,0.00736625,0.00736625,0.00736625
71,3725.87,0.77667,0.43383,0.85296,0.87131,0.84126,0.8907,0.68008,0.88477,0.48622,0.88311,0.00729725,0.00729725,0.00729725
72,3778.38,0.77642,0.43343,0.85384,0.86717,0.83066,0.88267,0.66931,0.8946,0.50765,0.88634,0.0072277,0.0072277,0.0072277
73,3830.44,0.77584,0.43241,0.85377,0.85985,0.83296,0.88358,0.67392,0.89312,0.50015,0.88531,0.00715761,0.00715761,0.00715761
74,3882.52,0.77532,0.43192,0.85263,0.86702,0.83352,0.88838,0.6761,0.8946,0.49351,0.88466,0.007087,0.007087,0.007087
75,3934.78,0.77382,0.43057,0.8523,0.86107,0.82739,0.88277,0.67125,0.89087,0.50833,0.88453,0.00701588,0.00701588,0.00701588
76,3986.8,0.77039,0.42929,0.85325,0.86874,0.8258,0.88562,0.67663,0.89101,0.49873,0.88409,0.00694428,0.00694428,0.00694428
77,4039.04,0.77166,0.42856,0.85199,0.85004,0.83028,0.88066,0.67152,0.89853,0.51154,0.88724,0.00687222,0.00687222,0.00687222
78,4091.07,0.76851,0.42727,0.85212,0.8533,0.82785,0.88059,0.67237,0.89597,0.50556,0.88607,0.0067997,0.0067997,0.0067997
79,4142.94,0.76902,0.4274,0.85211,0.85617,0.82258,0.87999,0.66663,0.9123,0.51441,0.89057,0.00672675,0.00672675,0.00672675
80,4194.81,0.76884,0.42591,0.85173,0.86862,0.81738,0.88139,0.66996,0.90304,0.50282,0.88831,0.00665339,0.00665339,0.00665339
81,4246.67,0.7691,0.42634,0.85148,0.86501,0.82281,0.88751,0.67733,0.89359,0.49953,0.88648,0.00657963,0.00657963,0.00657963
82,4298.82,0.76817,0.42425,0.85163,0.85814,0.83314,0.88656,0.6757,0.89598,0.49784,0.88537,0.0065055,0.0065055,0.0065055
83,4350.83,0.76605,0.4226,0.85106,0.8626,0.81897,0.88047,0.66841,0.90315,0.50995,0.88825,0.00643101,0.00643101,0.00643101
84,4402.83,0.7649,0.42288,0.85163,0.86429,0.82864,0.88215,0.66936,0.90009,0.50436,0.88772,0.00635617,0.00635617,0.00635617
85,4454.9,0.76547,0.42243,0.85049,0.87518,0.82675,0.88816,0.67625,0.89658,0.4972,0.88723,0.00628101,0.00628101,0.00628101
86,4506.85,0.7624,0.42128,0.85075,0.8768,0.82547,0.88685,0.67549,0.89902,0.50632,0.88753,0.00620555,0.00620555,0.00620555
87,4558.73,0.76262,0.4201,0.85074,0.87373,0.82241,0.88168,0.66987,0.89934,0.50251,0.88813,0.00612981,0.00612981,0.00612981
88,4610.73,0.76113,0.41914,0.85048,0.86584,0.81404,0.8775,0.66615,0.90544,0.51416,0.88927,0.0060538,0.0060538,0.0060538
89,4662.81,0.761,0.41878,0.84903,0.87257,0.82824,0.88674,0.67548,0.89758,0.49789,0.88722,0.00597754,0.00597754,0.00597754
90,4714.88,0.75932,0.41814,0.85097,0.87325,0.83438,0.89007,0.68044,0.88999,0.49593,0.88485,0.00590105,0.00590105,0.00590105
91,4766.72,0.75817,0.41677,0.85033,0.86859,0.82863,0.8866,0.67696,0.8964,0.49887,0.88728,0.00582435,0.00582435,0.00582435
92,4818.73,0.75746,0.41583,0.84885,0.86652,0.83,0.88604,0.67618,0.89595,0.50176,0.88669,0.00574746,0.00574746,0.00574746
93,4870.77,0.75546,0.41455,0.847,0.87134,0.82471,0.88671,0.67957,0.8935,0.50273,0.88485,0.0056704,0.0056704,0.0056704
94,4922.87,0.75563,0.4145,0.84748,0.87091,0.81392,0.88269,0.6751,0.89273,0.50542,0.88449,0.00559318,0.00559318,0.00559318
95,4974.87,0.75336,0.413,0.84654,0.86901,0.82115,0.88392,0.67419,0.89696,0.50716,0.88697,0.00551584,0.00551584,0.00551584
96,5026.9,0.75337,0.41198,0.84754,0.86859,0.83213,0.89039,0.67931,0.89469,0.49987,0.88614,0.00543837,0.00543837,0.00543837
97,5078.96,0.75296,0.41169,0.84775,0.86541,0.83243,0.88886,0.67936,0.89064,0.49776,0.88468,0.00536081,0.00536081,0.00536081
98,5131.02,0.75026,0.40924,0.84719,0.85869,0.82692,0.88392,0.67659,0.89402,0.50474,0.8849,0.00528318,0.00528318,0.00528318
99,5183.19,0.75057,0.40869,0.84702,0.86853,0.83475,0.89186,0.68684,0.88589,0.49469,0.88263,0.00520548,0.00520548,0.00520548
100,5235.32,0.74813,0.40748,0.84603,0.86708,0.82457,0.88685,0.68032,0.89258,0.50032,0.88427,0.00512775,0.00512775,0.00512775
101,5287.36,0.74699,0.40737,0.84613,0.87211,0.82899,0.89062,0.68128,0.89043,0.48964,0.88392,0.00505,0.00505,0.00505
102,5339.55,0.74731,0.40601,0.84649,0.87054,0.83181,0.8909,0.6832,0.89174,0.49056,0.88364,0.00497225,0.00497225,0.00497225
103,5391.6,0.74583,0.40484,0.84597,0.86728,0.8353,0.89035,0.68443,0.88836,0.49404,0.88399,0.00489452,0.00489452,0.00489452
104,5443.57,0.74587,0.40521,0.84573,0.86586,0.82909,0.88646,0.67839,0.89791,0.50066,0.88611,0.00481682,0.00481682,0.00481682
105,5495.7,0.74301,0.40317,0.8456,0.85723,0.83163,0.88396,0.67697,0.89571,0.50005,0.88499,0.00473919,0.00473919,0.00473919
106,5547.79,0.74224,0.40175,0.84584,0.86744,0.83217,0.88842,0.68155,0.89221,0.49475,0.88426,0.00466163,0.00466163,0.00466163
