epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.3186,1.28319,1.81351,1.02954,0.50068,0.16022,0.14131,0.06621,1.8289,2.84061,1.38405,0.070283,0.00330189,0.00330189
2,113.098,1.15266,0.82888,0.97375,0.33521,0.26395,0.24793,0.11732,1.64216,2.9174,1.15047,0.0402826,0.00663481,0.00663481
3,156.433,1.09063,0.75662,0.95346,0.38613,0.23268,0.21775,0.10063,1.8566,2.45185,1.22607,0.0102806,0.00996612,0.00996612
4,198.911,1.04924,0.70965,0.93943,0.60344,0.34108,0.39791,0.22353,1.41552,1.29621,1.06379,0.0099945,0.0099945,0.0099945
5,241.675,0.98473,0.65376,0.91819,0.7453,0.65239,0.70579,0.43712,1.09902,0.72607,0.90747,0.00999023,0.00999023,0.00999023
6,284.299,0.95041,0.6144,0.90485,0.77864,0.68061,0.73319,0.47831,1.05475,0.66466,0.88943,0.00998474,0.00998474,0.00998474
7,326.964,0.91558,0.59167,0.89635,0.80388,0.65825,0.72361,0.46641,1.06109,0.69255,0.89338,0.00997803,0.00997803,0.00997803
8,369.073,0.89054,0.56964,0.88962,0.7334,0.65357,0.69113,0.4521,1.0403,0.64849,0.89373,0.00997011,0.00997011,0.00997011
9,411.234,0.88369,0.55851,0.88449,0.79606,0.70019,0.75704,0.49609,1.05865,0.63407,0.89367,0.00996097,0.00996097,0.00996097
10,453.382,0.87958,0.56013,0.88377,0.75347,0.68401,0.72861,0.466,1.11995,0.66443,0.93443,0.00995062,0.00995062,0.00995062
11,495.357,0.86251,0.54299,0.87815,0.79809,0.6996,0.75967,0.48932,1.07789,0.6245,0.89501,0.00993906,0.00993906,0.00993906
12,537.597,0.84666,0.52683,0.87346,0.77502,0.63103,0.71266,0.46724,1.00732,0.63528,0.87724,0.00992629,0.00992629,0.00992629
13,579.364,0.84318,0.52591,0.87067,0.80846,0.71393,0.78532,0.52426,0.99853,0.57781,0.88386,0.00991232,0.00991232,0.00991232
14,621.723,0.83134,0.51645,0.86716,0.78452,0.6879,0.7466,0.48802,1.05806,0.62445,0.89269,0.00989715,0.00989715,0.00989715
15,663.543,0.82317,0.51353,0.86783,0.8057,0.70577,0.76948,0.5145,1.00232,0.59763,0.88232,0.00988079,0.00988079,0.00988079
16,705.336,0.81297,0.50297,0.86355,0.82795,0.72392,0.79307,0.5295,0.9951,0.58011,0.891,0.00986323,0.00986323,0.00986323
17,747.487,0.81403,0.50365,0.86322,0.78452,0.76338,0.79252,0.53746,0.95628,0.56749,0.86146,0.00984449,0.00984449,0.00984449
18,789.471,0.81005,0.49686,0.86257,0.82986,0.69977,0.76369,0.50434,1.02152,0.60923,0.90126,0.00982456,0.00982456,0.00982456
19,831.257,0.80866,0.52127,0.85777,0.82928,0.74941,0.81698,0.56632,0.9475,0.55263,0.86113,0.00980345,0.00980345,0.00980345
20,873.397,0.7968,0.4893,0.86034,0.83146,0.75297,0.81596,0.56061,0.96156,0.54457,0.86504,0.00978118,0.00978118,0.00978118
21,915.274,0.79612,0.48817,0.8581,0.8271,0.77671,0.82495,0.56807,0.93287,0.52649,0.87028,0.00975773,0.00975773,0.00975773
22,957.535,0.79387,0.48794,0.85861,0.81602,0.75654,0.8099,0.54421,0.99985,0.54826,0.87274,0.00973312,0.00973312,0.00973312
23,999.273,0.78529,0.47672,0.85499,0.85296,0.78503,0.84634,0.6007,0.86013,0.49004,0.84453,0.00970736,0.00970736,0.00970736
24,1041.32,0.77491,0.46956,0.85542,0.83612,0.72805,0.81536,0.57092,0.90811,0.54394,0.85738,0.00968045,0.00968045,0.00968045
25,1083.13,0.77583,0.46787,0.85126,0.85286,0.77437,0.84223,0.5861,0.91831,0.50426,0.84811,0.00965239,0.00965239,0.00965239
26,1124.9,0.77047,0.46821,0.85084,0.81931,0.72629,0.79081,0.52876,0.98706,0.55271,0.86755,0.0096232,0.0096232,0.0096232
27,1166.73,0.77328,0.46815,0.85294,0.83723,0.7665,0.82566,0.5858,0.88902,0.51145,0.84859,0.00959289,0.00959289,0.00959289
