epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4079,1.27975,1.78923,0.99702,0.18186,0.37764,0.20198,0.10478,1.49679,inf,1.13608,0.0703797,0.00329114,0.00329114
2,68.5153,1.12848,0.79743,0.94512,0.63403,0.3434,0.3877,0.2148,1.45602,2.19593,1.05408,0.0403793,0.00662407,0.00662407
3,97.7275,1.08541,0.75112,0.937,0.50347,0.38489,0.38456,0.21456,1.40884,1.72453,1.04105,0.0103773,0.00995537,0.00995537
4,126.867,1.02412,0.68497,0.91973,0.53641,0.36761,0.4066,0.23092,1.33766,1.77452,0.99983,0.0099945,0.0099945,0.0099945
5,155.746,0.98429,0.65046,0.90263,0.76254,0.63202,0.69157,0.44413,1.11909,0.82656,0.91169,0.00999023,0.00999023,0.00999023
6,184.485,0.94123,0.617,0.89174,0.76545,0.6419,0.6957,0.43738,1.10413,0.73695,0.90464,0.00998474,0.00998474,0.00998474
7,212.701,0.91918,0.5978,0.88655,0.78226,0.66213,0.72399,0.46208,1.09286,0.68741,0.89049,0.00997803,0.00997803,0.00997803
8,241.095,0.89587,0.57599,0.88058,0.79324,0.69061,0.76151,0.51299,1.00503,0.64676,0.87061,0.00997011,0.00997011,0.00997011
9,269.531,0.89035,0.56545,0.87613,0.761,0.7148,0.76437,0.51299,1.01346,0.63452,0.86448,0.00996097,0.00996097,0.00996097
10,298.225,0.8734,0.55576,0.87002,0.67987,0.67473,0.68009,0.43501,1.10724,0.7012,0.89225,0.00995062,0.00995062,0.00995062
11,326.811,0.87046,0.55222,0.87102,0.76812,0.60965,0.70789,0.44742,1.08146,0.69474,0.88956,0.00993906,0.00993906,0.00993906
12,355.029,0.85605,0.53724,0.86605,0.73078,0.68281,0.70981,0.47587,0.99123,0.64974,0.86972,0.00992629,0.00992629,0.00992629
13,383.28,0.8485,0.53396,0.86488,0.80059,0.7301,0.78399,0.54003,0.94338,0.60336,0.85755,0.00991232,0.00991232,0.00991232
14,411.658,0.8463,0.527,0.86283,0.78652,0.7045,0.74517,0.49243,1.01372,0.6147,0.87098,0.00989715,0.00989715,0.00989715
15,439.752,0.83083,0.52245,0.86224,0.80961,0.71715,0.77775,0.52843,0.98619,0.6075,0.86388,0.00988079,0.00988079,0.00988079
16,467.845,0.82767,0.51175,0.8602,0.83391,0.74071,0.80643,0.55255,0.95449,0.55854,0.85727,0.00986323,0.00986323,0.00986323
17,496.152,0.8259,0.50892,0.85883,0.79885,0.72782,0.77648,0.52486,0.99279,0.60111,0.85936,0.00984449,0.00984449,0.00984449
18,524.319,0.8136,0.50119,0.85574,0.77271,0.68342,0.73966,0.48101,1.06175,0.64605,0.88479,0.00982456,0.00982456,0.00982456
19,552.237,0.81956,0.50698,0.85539,0.82802,0.72455,0.78781,0.54082,0.98342,0.59086,0.86099,0.00980345,0.00980345,0.00980345
20,580.129,0.81001,0.49881,0.85542,0.83768,0.7475,0.80874,0.56454,0.92561,0.55533,0.85457,0.00978118,0.00978118,0.00978118
21,608.286,0.80123,0.49163,0.8529,0.82177,0.73072,0.79406,0.53434,1.0016,0.56507,0.8633,0.00975773,0.00975773,0.00975773
22,636.403,0.7922,0.48729,0.85003,0.82843,0.75561,0.81084,0.56332,0.94242,0.55693,0.85403,0.00973312,0.00973312,0.00973312
23,664.491,0.79118,0.48016,0.84892,0.83127,0.75302,0.81115,0.55529,0.9575,0.55821,0.85472,0.00970736,0.00970736,0.00970736
24,692.606,0.7877,0.47874,0.84942,0.82529,0.73596,0.80403,0.56662,0.90306,0.55948,0.84662,0.00968045,0.00968045,0.00968045
25,720.85,0.7922,0.47978,0.84986,0.81639,0.75299,0.81788,0.57406,0.90919,0.53092,0.8479,0.00965239,0.00965239,0.00965239
26,749.133,0.78995,0.47826,0.84935,0.82037,0.7429,0.79871,0.54121,0.97218,0.57485,0.85617,0.0096232,0.0096232,0.0096232
27,777.037,0.78332,0.47635,0.84885,0.83303,0.7563,0.81971,0.57619,0.91917,0.54418,0.84574,0.00959289,0.00959289,0.00959289
