epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7676,1.31668,1.66262,0.98766,0.47776,0.54257,0.46196,0.24957,1.44054,2.40505,1.01416,0.0703797,0.00329114,0.00329114
2,47.5202,1.14576,0.81914,0.92821,0.45775,0.50684,0.44817,0.2338,1.46414,2.30673,1.01168,0.0403793,0.00662407,0.00662407
3,65.6754,1.12491,0.77847,0.92803,0.39888,0.54252,0.40323,0.21871,1.37314,inf,0.97827,0.0103773,0.00995537,0.00995537
4,83.8897,1.06517,0.72401,0.91256,0.41282,0.52719,0.41472,0.22042,1.41768,1.66511,0.97834,0.0099945,0.0099945,0.0099945
5,101.176,1.01846,0.68171,0.89646,0.77101,0.64555,0.712,0.44619,1.10375,0.78333,0.88304,0.00999023,0.00999023,0.00999023
6,118.395,0.9762,0.64474,0.88748,0.72241,0.63173,0.69691,0.42378,1.14332,0.7669,0.89916,0.00998474,0.00998474,0.00998474
7,135.47,0.96157,0.62624,0.88412,0.73601,0.67037,0.69681,0.43719,1.09047,0.69953,0.87908,0.00997803,0.00997803,0.00997803
8,152.73,0.93579,0.60401,0.87826,0.77332,0.66857,0.71839,0.45851,1.08651,0.68198,0.87855,0.00997011,0.00997011,0.00997011
9,169.926,0.94193,0.60174,0.8762,0.7561,0.68009,0.73524,0.47928,1.05344,0.67054,0.86973,0.00996097,0.00996097,0.00996097
10,186.924,0.91423,0.58471,0.86867,0.79333,0.69472,0.7566,0.49544,1.04508,0.64729,0.8744,0.00995062,0.00995062,0.00995062
11,203.905,0.9062,0.57999,0.86969,0.78645,0.70961,0.77314,0.52028,0.98496,0.60846,0.86189,0.00993906,0.00993906,0.00993906
12,220.639,0.89338,0.56554,0.86504,0.80125,0.69785,0.75679,0.49267,1.02976,0.63661,0.86718,0.00992629,0.00992629,0.00992629
13,237.613,0.88652,0.56247,0.8635,0.77393,0.70318,0.7389,0.47738,1.04935,0.65928,0.86679,0.00991232,0.00991232,0.00991232
14,254.545,0.87534,0.55077,0.86041,0.78682,0.69496,0.74176,0.47025,1.09686,0.63774,0.87889,0.00989715,0.00989715,0.00989715
15,271.366,0.86611,0.54896,0.8613,0.78831,0.69934,0.75202,0.49353,1.02837,0.63598,0.86708,0.00988079,0.00988079,0.00988079
16,288.004,0.86258,0.53554,0.85805,0.68267,0.72885,0.73591,0.48308,1.04468,0.65155,0.87106,0.00986323,0.00986323,0.00986323
17,304.808,0.85315,0.53065,0.85544,0.78749,0.72518,0.7701,0.51574,0.99378,0.59338,0.8588,0.00984449,0.00984449,0.00984449
18,321.282,0.85008,0.53028,0.85514,0.81385,0.70642,0.77068,0.51067,1.0142,0.60663,0.86354,0.00982456,0.00982456,0.00982456
19,337.962,0.85092,0.53086,0.85442,0.75821,0.59425,0.6516,0.40032,1.17116,0.78411,0.90316,0.00980345,0.00980345,0.00980345
20,354.656,0.84638,0.52412,0.8544,0.82368,0.74077,0.80181,0.55595,0.93383,0.56894,0.8492,0.00978118,0.00978118,0.00978118
21,371.295,0.83715,0.51805,0.85126,0.81949,0.72069,0.78499,0.53447,0.97162,0.58851,0.85879,0.00975773,0.00975773,0.00975773
22,387.853,0.83036,0.51778,0.85038,0.78548,0.72222,0.76689,0.51624,0.98823,0.59698,0.85695,0.00973312,0.00973312,0.00973312
23,404.453,0.83212,0.51211,0.85019,0.81113,0.69081,0.76523,0.50458,1.02889,0.64382,0.87133,0.00970736,0.00970736,0.00970736
24,421.153,0.82292,0.5061,0.84891,0.79572,0.68833,0.74742,0.49934,0.9975,0.61582,0.86133,0.00968045,0.00968045,0.00968045
25,437.357,0.82754,0.50851,0.84883,0.79783,0.72129,0.78241,0.53357,0.98018,0.59198,0.85401,0.00965239,0.00965239,0.00965239
26,454.212,0.82784,0.50668,0.84973,0.70401,0.46083,0.58249,0.35549,1.17417,0.77594,0.90134,0.0096232,0.0096232,0.0096232
27,470.812,0.8206,0.50642,0.84895,0.80183,0.69601,0.77116,0.51322,1.00811,0.60968,0.86273,0.00959289,0.00959289,0.00959289
28,487.347,0.81656,0.50183,0.84686,0.82824,0.74382,0.81054,0.54895,0.97579,0.57718,0.85412,0.00956145,0.00956145,0.00956145
29,504.07,0.80755,0.49465,0.84596,0.82052,0.71343,0.78278,0.53178,0.98058,0.60022,0.86024,0.00952889,0.00952889,0.00952889
30,520.467,0.80529,0.48813,0.84492,0.79417,0.72746,0.78464,0.5332,0.98204,0.57867,0.85375,0.00949524,0.00949524,0.00949524
31,537.017,0.80149,0.48703,0.84462,0.80505,0.74655,0.79363,0.5468,0.94943,0.56335,0.84942,0.00946048,0.00946048,0.00946048
32,553.718,0.8038,0.48803,0.84522,0.82964,0.72693,0.79173,0.54025,0.96526,0.58501,0.8507,0.00942464,0.00942464,0.00942464
33,570.129,0.80078,0.48795,0.84274,0.81803,0.72775,0.77616,0.51741,1.00233,0.58399,0.85889,0.00938772,0.00938772,0.00938772
34,586.703,0.79771,0.4834,0.84483,0.76809,0.76901,0.7878,0.53665,0.97868,0.58711,0.85151,0.00934973,0.00934973,0.00934973
35,603.496,0.79848,0.4852,0.84242,0.83932,0.73875,0.81064,0.56318,0.93458,0.5529,0.84751,0.00931067,0.00931067,0.00931067
36,620.346,0.79207,0.48101,0.84353,0.80217,0.71504,0.77636,0.52388,0.9798,0.57705,0.85319,0.00927057,0.00927057,0.00927057
37,637.098,0.7928,0.48275,0.84289,0.7831,0.75885,0.79833,0.55257,0.93495,0.55902,0.8477,0.00922942,0.00922942,0.00922942
38,653.908,0.794,0.47889,0.8411,0.81852,0.74309,0.80669,0.56552,0.91847,0.55457,0.84655,0.00918725,0.00918725,0.00918725
39,670.649,0.78867,0.47662,0.84062,0.80725,0.75618,0.80872,0.56141,0.94047,0.55284,0.84706,0.00914405,0.00914405,0.00914405
40,687.366,0.78246,0.47141,0.84052,0.80966,0.73834,0.79541,0.54034,0.97494,0.57809,0.85189,0.00909984,0.00909984,0.00909984
41,704.005,0.78817,0.47442,0.83993,0.83244,0.73606,0.80077,0.53655,1.02702,0.57746,0.85982,0.00905463,0.00905463,0.00905463
42,720.355,0.78681,0.47318,0.8413,0.83449,0.75686,0.81085,0.55861,0.94428,0.54645,0.84689,0.00900844,0.00900844,0.00900844
43,736.764,0.78441,0.47058,0.83938,0.82728,0.764,0.81776,0.57421,0.90547,0.54105,0.84243,0.00896127,0.00896127,0.00896127
44,753.364,0.77994,0.47069,0.84079,0.8333,0.74908,0.81652,0.5727,0.91246,0.53974,0.8436,0.00891313,0.00891313,0.00891313
45,769.785,0.77989,0.46885,0.83924,0.81806,0.72968,0.80099,0.54341,0.97377,0.55288,0.85305,0.00886404,0.00886404,0.00886404
46,786.211,0.7774,0.46689,0.8388,0.80846,0.73027,0.78984,0.52946,1.0026,0.59006,0.85467,0.00881401,0.00881401,0.00881401
47,802.81,0.77521,0.46394,0.83828,0.82096,0.73706,0.80376,0.55706,0.94379,0.56351,0.84607,0.00876305,0.00876305,0.00876305
48,819.177,0.77291,0.46299,0.83948,0.81632,0.74865,0.808,0.54981,0.9723,0.55328,0.84862,0.00871117,0.00871117,0.00871117
49,835.553,0.77154,0.46247,0.83758,0.82361,0.76015,0.8144,0.56271,0.94912,0.54901,0.84746,0.00865839,0.00865839,0.00865839
50,852.157,0.77513,0.46113,0.83828,0.80907,0.7673,0.81286,0.56123,0.94991,0.54971,0.84752,0.00860473,0.00860473,0.00860473
51,868.596,0.7671,0.45972,0.83627,0.8102,0.74347,0.80339,0.55244,0.95882,0.5639,0.84874,0.00855018,0.00855018,0.00855018
